
vgs_val           i("/M0/D" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer/spectre/schematic" ?result "dc") (A)

 0.00000e+00       5.49564e-12      
 1.80000e-02       1.06041e-11      
 3.60000e-02       2.04324e-11      
 5.40000e-02       3.92927e-11      
 7.20000e-02       7.53592e-11      
 9.00000e-02       1.44002e-10      
 1.08000e-01       2.73812e-10      
 1.26000e-01       5.17222e-10      
 1.44000e-01       9.68620e-10      
 1.62000e-01       1.79399e-09      
 1.80000e-01       3.27701e-09      
 1.98000e-01       5.88698e-09      
 2.16000e-01       1.03737e-08      
 2.34000e-01       1.78963e-08      
 2.52000e-01       3.01987e-08      
 2.70000e-01       4.98546e-08      
 2.88000e-01       8.06052e-08      
 3.06000e-01       1.27785e-07      
 3.24000e-01       1.98758e-07      
 3.42000e-01       3.03188e-07      
 3.60000e-01       4.52912e-07      
 3.78000e-01       6.61268e-07      
 3.96000e-01       9.41913e-07      
 4.14000e-01       1.30746e-06      
 4.32000e-01       1.76834e-06      
 4.50000e-01       2.33220e-06      
 4.68000e-01       3.00388e-06      
 4.86000e-01       3.78583e-06      
 5.04000e-01       4.67867e-06      
 5.22000e-01       5.68174e-06      
 5.40000e-01       6.79357e-06      
 5.58000e-01       8.01216e-06      
 5.76000e-01       9.33508e-06      
 5.94000e-01       1.07595e-05      
 6.12000e-01       1.22821e-05      
 6.30000e-01       1.38988e-05      
 6.48000e-01       1.56048e-05      
 6.66000e-01       1.73941e-05      
 6.84000e-01       1.92596e-05      
 7.02000e-01       2.11929e-05      
 7.20000e-01       2.31851e-05      
 7.38000e-01       2.52269e-05      
 7.56000e-01       2.73091e-05      
 7.74000e-01       2.94235e-05      
 7.92000e-01       3.15629e-05      
 8.10000e-01       3.37213e-05      
 8.28000e-01       3.58936e-05      
 8.46000e-01       3.80758e-05      
 8.64000e-01       4.02647e-05      
 8.82000e-01       4.24577e-05      
 9.00000e-01       4.46525e-05      
 9.18000e-01       4.68474e-05      
 9.36000e-01       4.90408e-05      
 9.54000e-01       5.12313e-05      
 9.72000e-01       5.34178e-05      
 9.90000e-01       5.55993e-05      
 1.00800e+00       5.77747e-05      
 1.02600e+00       5.99432e-05      
 1.04400e+00       6.21040e-05      
 1.06200e+00       6.42564e-05      
 1.08000e+00       6.63997e-05      
 1.09800e+00       6.85332e-05      
 1.11600e+00       7.06563e-05      
 1.13400e+00       7.27684e-05      
 1.15200e+00       7.48690e-05      
 1.17000e+00       7.69576e-05      
 1.18800e+00       7.90336e-05      
 1.20600e+00       8.10965e-05      
 1.22400e+00       8.31460e-05      
 1.24200e+00       8.51815e-05      
 1.26000e+00       8.72026e-05      
 1.27800e+00       8.92089e-05      
 1.29600e+00       9.12001e-05      
 1.31400e+00       9.31757e-05      
 1.33200e+00       9.51354e-05      
 1.35000e+00       9.70789e-05      
 1.36800e+00       9.90057e-05      
 1.38600e+00       1.00916e-04      
 1.40400e+00       1.02808e-04      
 1.42200e+00       1.04684e-04      
 1.44000e+00       1.06541e-04      
 1.45800e+00       1.08381e-04      
 1.47600e+00       1.10202e-04      
 1.49400e+00       1.12005e-04      
 1.51200e+00       1.13789e-04      
 1.53000e+00       1.15554e-04      
 1.54800e+00       1.17300e-04      
 1.56600e+00       1.19027e-04      
 1.58400e+00       1.20734e-04      
 1.60200e+00       1.22421e-04      
 1.62000e+00       1.24089e-04      
 1.63800e+00       1.25737e-04      
 1.65600e+00       1.27364e-04      
 1.67400e+00       1.28972e-04      
 1.69200e+00       1.30559e-04      
 1.71000e+00       1.32126e-04      
 1.72800e+00       1.33672e-04      
 1.74600e+00       1.35198e-04      
 1.76400e+00       1.36703e-04      
 1.78200e+00       1.38187e-04      
 1.80000e+00       1.39651e-04      
