
vdd_value         i("/M0/S" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer_pmos/spectre/schematic" ?result "dc") (A)

 0.00000e+00       0.00000e+00      
 1.80000e-02       5.76678e-08      
 3.60000e-02       9.83660e-08      
 5.40000e-02       1.24074e-07      
 7.20000e-02       1.38315e-07      
 9.00000e-02       1.45457e-07      
 1.08000e-01       1.48990e-07      
 1.26000e-01       1.50853e-07      
 1.44000e-01       1.51933e-07      
 1.62000e-01       1.52623e-07      
 1.80000e-01       1.53104e-07      
 1.98000e-01       1.53464e-07      
 2.16000e-01       1.53750e-07      
 2.34000e-01       1.53987e-07      
 2.52000e-01       1.54192e-07      
 2.70000e-01       1.54373e-07      
 2.88000e-01       1.54537e-07      
 3.06000e-01       1.54688e-07      
 3.24000e-01       1.54829e-07      
 3.42000e-01       1.54962e-07      
 3.60000e-01       1.55088e-07      
 3.78000e-01       1.55209e-07      
 3.96000e-01       1.55325e-07      
 4.14000e-01       1.55437e-07      
 4.32000e-01       1.55546e-07      
 4.50000e-01       1.55652e-07      
 4.68000e-01       1.55756e-07      
 4.86000e-01       1.55857e-07      
 5.04000e-01       1.55955e-07      
 5.22000e-01       1.56052e-07      
 5.40000e-01       1.56148e-07      
 5.58000e-01       1.56241e-07      
 5.76000e-01       1.56333e-07      
 5.94000e-01       1.56424e-07      
 6.12000e-01       1.56514e-07      
 6.30000e-01       1.56602e-07      
 6.48000e-01       1.56689e-07      
 6.66000e-01       1.56776e-07      
 6.84000e-01       1.56861e-07      
 7.02000e-01       1.56945e-07      
 7.20000e-01       1.57029e-07      
 7.38000e-01       1.57112e-07      
 7.56000e-01       1.57194e-07      
 7.74000e-01       1.57275e-07      
 7.92000e-01       1.57356e-07      
 8.10000e-01       1.57436e-07      
 8.28000e-01       1.57516e-07      
 8.46000e-01       1.57595e-07      
 8.64000e-01       1.57673e-07      
 8.82000e-01       1.57751e-07      
 9.00000e-01       1.57828e-07      
 9.18000e-01       1.57905e-07      
 9.36000e-01       1.57981e-07      
 9.54000e-01       1.58057e-07      
 9.72000e-01       1.58133e-07      
 9.90000e-01       1.58208e-07      
 1.00800e+00       1.58283e-07      
 1.02600e+00       1.58357e-07      
 1.04400e+00       1.58431e-07      
 1.06200e+00       1.58505e-07      
 1.08000e+00       1.58578e-07      
 1.09800e+00       1.58651e-07      
 1.11600e+00       1.58724e-07      
 1.13400e+00       1.58796e-07      
 1.15200e+00       1.58869e-07      
 1.17000e+00       1.58940e-07      
 1.18800e+00       1.59012e-07      
 1.20600e+00       1.59083e-07      
 1.22400e+00       1.59155e-07      
 1.24200e+00       1.59225e-07      
 1.26000e+00       1.59296e-07      
 1.27800e+00       1.59366e-07      
 1.29600e+00       1.59437e-07      
 1.31400e+00       1.59507e-07      
 1.33200e+00       1.59576e-07      
 1.35000e+00       1.59646e-07      
 1.36800e+00       1.59715e-07      
 1.38600e+00       1.59785e-07      
 1.40400e+00       1.59854e-07      
 1.42200e+00       1.59923e-07      
 1.44000e+00       1.59991e-07      
 1.45800e+00       1.60060e-07      
 1.47600e+00       1.60128e-07      
 1.49400e+00       1.60197e-07      
 1.51200e+00       1.60265e-07      
 1.53000e+00       1.60333e-07      
 1.54800e+00       1.60400e-07      
 1.56600e+00       1.60468e-07      
 1.58400e+00       1.60536e-07      
 1.60200e+00       1.60603e-07      
 1.62000e+00       1.60671e-07      
 1.63800e+00       1.60738e-07      
 1.65600e+00       1.60805e-07      
 1.67400e+00       1.60872e-07      
 1.69200e+00       1.60939e-07      
 1.71000e+00       1.61006e-07      
 1.72800e+00       1.61072e-07      
 1.74600e+00       1.61139e-07      
 1.76400e+00       1.61205e-07      
 1.78200e+00       1.61272e-07      
 1.80000e+00       1.61338e-07      
