
vdd_value         i("/M0/D" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer/spectre/schematic" ?result "dc") (A)

 0.00000e+00       0.00000e+00      
 1.80000e-02       3.73639e-06      
 3.60000e-02       7.28340e-06      
 5.40000e-02       1.06437e-05      
 7.20000e-02       1.38201e-05      
 9.00000e-02       1.68152e-05      
 1.08000e-01       1.96316e-05      
 1.26000e-01       2.22719e-05      
 1.44000e-01       2.47388e-05      
 1.62000e-01       2.70348e-05      
 1.80000e-01       2.91627e-05      
 1.98000e-01       3.11252e-05      
 2.16000e-01       3.29250e-05      
 2.34000e-01       3.45653e-05      
 2.52000e-01       3.60492e-05      
 2.70000e-01       3.73805e-05      
 2.88000e-01       3.85634e-05      
 3.06000e-01       3.96033e-05      
 3.24000e-01       4.05065e-05      
 3.42000e-01       4.12812e-05      
 3.60000e-01       4.19373e-05      
 3.78000e-01       4.24872e-05      
 3.96000e-01       4.29446e-05      
 4.14000e-01       4.33243e-05      
 4.32000e-01       4.36405e-05      
 4.50000e-01       4.39064e-05      
 4.68000e-01       4.41326e-05      
 4.86000e-01       4.43279e-05      
 5.04000e-01       4.44990e-05      
 5.22000e-01       4.46509e-05      
 5.40000e-01       4.47875e-05      
 5.58000e-01       4.49117e-05      
 5.76000e-01       4.50258e-05      
 5.94000e-01       4.51313e-05      
 6.12000e-01       4.52298e-05      
 6.30000e-01       4.53222e-05      
 6.48000e-01       4.54094e-05      
 6.66000e-01       4.54922e-05      
 6.84000e-01       4.55710e-05      
 7.02000e-01       4.56464e-05      
 7.20000e-01       4.57188e-05      
 7.38000e-01       4.57884e-05      
 7.56000e-01       4.58557e-05      
 7.74000e-01       4.59208e-05      
 7.92000e-01       4.59840e-05      
 8.10000e-01       4.60455e-05      
 8.28000e-01       4.61053e-05      
 8.46000e-01       4.61637e-05      
 8.64000e-01       4.62208e-05      
 8.82000e-01       4.62767e-05      
 9.00000e-01       4.63315e-05      
 9.18000e-01       4.63852e-05      
 9.36000e-01       4.64381e-05      
 9.54000e-01       4.64900e-05      
 9.72000e-01       4.65412e-05      
 9.90000e-01       4.65916e-05      
 1.00800e+00       4.66413e-05      
 1.02600e+00       4.66904e-05      
 1.04400e+00       4.67388e-05      
 1.06200e+00       4.67867e-05      
 1.08000e+00       4.68341e-05      
 1.09800e+00       4.68810e-05      
 1.11600e+00       4.69275e-05      
 1.13400e+00       4.69735e-05      
 1.15200e+00       4.70191e-05      
 1.17000e+00       4.70643e-05      
 1.18800e+00       4.71091e-05      
 1.20600e+00       4.71536e-05      
 1.22400e+00       4.71978e-05      
 1.24200e+00       4.72417e-05      
 1.26000e+00       4.72853e-05      
 1.27800e+00       4.73287e-05      
 1.29600e+00       4.73718e-05      
 1.31400e+00       4.74146e-05      
 1.33200e+00       4.74572e-05      
 1.35000e+00       4.74996e-05      
 1.36800e+00       4.75418e-05      
 1.38600e+00       4.75837e-05      
 1.40400e+00       4.76255e-05      
 1.42200e+00       4.76671e-05      
 1.44000e+00       4.77086e-05      
 1.45800e+00       4.77499e-05      
 1.47600e+00       4.77910e-05      
 1.49400e+00       4.78320e-05      
 1.51200e+00       4.78728e-05      
 1.53000e+00       4.79135e-05      
 1.54800e+00       4.79541e-05      
 1.56600e+00       4.79945e-05      
 1.58400e+00       4.80348e-05      
 1.60200e+00       4.80750e-05      
 1.62000e+00       4.81152e-05      
 1.63800e+00       4.81552e-05      
 1.65600e+00       4.81951e-05      
 1.67400e+00       4.82349e-05      
 1.69200e+00       4.82746e-05      
 1.71000e+00       4.83142e-05      
 1.72800e+00       4.83538e-05      
 1.74600e+00       4.83932e-05      
 1.76400e+00       4.84326e-05      
 1.78200e+00       4.84719e-05      
 1.80000e+00       4.85112e-05      
