
vdd_value         i("/M0/S" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer_pmos/spectre/schematic" ?result "dc") (A)

 0.00000e+00       0.00000e+00      
 1.80000e-02       7.80241e-07      
 3.60000e-02       1.51624e-06      
 5.40000e-02       2.20944e-06      
 7.20000e-02       2.86125e-06      
 9.00000e-02       3.47302e-06      
 1.08000e-01       4.04603e-06      
 1.26000e-01       4.58153e-06      
 1.44000e-01       5.08073e-06      
 1.62000e-01       5.54479e-06      
 1.80000e-01       5.97486e-06      
 1.98000e-01       6.37206e-06      
 2.16000e-01       6.73750e-06      
 2.34000e-01       7.07233e-06      
 2.52000e-01       7.37771e-06      
 2.70000e-01       7.65489e-06      
 2.88000e-01       7.90523e-06      
 3.06000e-01       8.13027e-06      
 3.24000e-01       8.33180e-06      
 3.42000e-01       8.51188e-06      
 3.60000e-01       8.67286e-06      
 3.78000e-01       8.81729e-06      
 3.96000e-01       8.94774e-06      
 4.14000e-01       9.06661e-06      
 4.32000e-01       9.17599e-06      
 4.50000e-01       9.27757e-06      
 4.68000e-01       9.37265e-06      
 4.86000e-01       9.46226e-06      
 5.04000e-01       9.54716e-06      
 5.22000e-01       9.62794e-06      
 5.40000e-01       9.70508e-06      
 5.58000e-01       9.77895e-06      
 5.76000e-01       9.84986e-06      
 5.94000e-01       9.91807e-06      
 6.12000e-01       9.98379e-06      
 6.30000e-01       1.00472e-05      
 6.48000e-01       1.01085e-05      
 6.66000e-01       1.01679e-05      
 6.84000e-01       1.02254e-05      
 7.02000e-01       1.02812e-05      
 7.20000e-01       1.03354e-05      
 7.38000e-01       1.03880e-05      
 7.56000e-01       1.04393e-05      
 7.74000e-01       1.04892e-05      
 7.92000e-01       1.05378e-05      
 8.10000e-01       1.05853e-05      
 8.28000e-01       1.06316e-05      
 8.46000e-01       1.06769e-05      
 8.64000e-01       1.07211e-05      
 8.82000e-01       1.07644e-05      
 9.00000e-01       1.08068e-05      
 9.18000e-01       1.08484e-05      
 9.36000e-01       1.08891e-05      
 9.54000e-01       1.09290e-05      
 9.72000e-01       1.09682e-05      
 9.90000e-01       1.10066e-05      
 1.00800e+00       1.10444e-05      
 1.02600e+00       1.10815e-05      
 1.04400e+00       1.11181e-05      
 1.06200e+00       1.11540e-05      
 1.08000e+00       1.11893e-05      
 1.09800e+00       1.12242e-05      
 1.11600e+00       1.12585e-05      
 1.13400e+00       1.12923e-05      
 1.15200e+00       1.13256e-05      
 1.17000e+00       1.13584e-05      
 1.18800e+00       1.13909e-05      
 1.20600e+00       1.14229e-05      
 1.22400e+00       1.14545e-05      
 1.24200e+00       1.14857e-05      
 1.26000e+00       1.15165e-05      
 1.27800e+00       1.15469e-05      
 1.29600e+00       1.15771e-05      
 1.31400e+00       1.16068e-05      
 1.33200e+00       1.16363e-05      
 1.35000e+00       1.16654e-05      
 1.36800e+00       1.16943e-05      
 1.38600e+00       1.17228e-05      
 1.40400e+00       1.17511e-05      
 1.42200e+00       1.17791e-05      
 1.44000e+00       1.18068e-05      
 1.45800e+00       1.18343e-05      
 1.47600e+00       1.18615e-05      
 1.49400e+00       1.18885e-05      
 1.51200e+00       1.19153e-05      
 1.53000e+00       1.19418e-05      
 1.54800e+00       1.19682e-05      
 1.56600e+00       1.19943e-05      
 1.58400e+00       1.20202e-05      
 1.60200e+00       1.20459e-05      
 1.62000e+00       1.20715e-05      
 1.63800e+00       1.20968e-05      
 1.65600e+00       1.21220e-05      
 1.67400e+00       1.21470e-05      
 1.69200e+00       1.21719e-05      
 1.71000e+00       1.21965e-05      
 1.72800e+00       1.22211e-05      
 1.74600e+00       1.22454e-05      
 1.76400e+00       1.22697e-05      
 1.78200e+00       1.22937e-05      
 1.80000e+00       1.23177e-05      
