
vgs_val           i("/M0/S" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer_pmos/spectre/schematic" ?result "dc") (A)

 0.00000e+00       1.65841e-12      
 1.80000e-02       2.81105e-12      
 3.60000e-02       4.76367e-12      
 5.40000e-02       8.07016e-12      
 7.20000e-02       1.36663e-11      
 9.00000e-02       2.31311e-11      
 1.08000e-01       3.91250e-11      
 1.26000e-01       6.61212e-11      
 1.44000e-01       1.11621e-10      
 1.62000e-01       1.88165e-10      
 1.80000e-01       3.16624e-10      
 1.98000e-01       5.31557e-10      
 2.16000e-01       8.89805e-10      
 2.34000e-01       1.48410e-09      
 2.52000e-01       2.46424e-09      
 2.70000e-01       4.06939e-09      
 2.88000e-01       6.67637e-09      
 3.06000e-01       1.08702e-08      
 3.24000e-01       1.75458e-08      
 3.42000e-01       2.80521e-08      
 3.60000e-01       4.43962e-08      
 3.78000e-01       6.95301e-08      
 3.96000e-01       1.07743e-07      
 4.14000e-01       1.65162e-07      
 4.32000e-01       2.50319e-07      
 4.50000e-01       3.74644e-07      
 4.68000e-01       5.52670e-07      
 4.86000e-01       8.01718e-07      
 5.04000e-01       1.14095e-06      
 5.22000e-01       1.58990e-06      
 5.40000e-01       2.16676e-06      
 5.58000e-01       2.88688e-06      
 5.76000e-01       3.76183e-06      
 5.94000e-01       4.79909e-06      
 6.12000e-01       6.00235e-06      
 6.30000e-01       7.37215e-06      
 6.48000e-01       8.90677e-06      
 6.66000e-01       1.06030e-05      
 6.84000e-01       1.24568e-05      
 7.02000e-01       1.44638e-05      
 7.20000e-01       1.66197e-05      
 7.38000e-01       1.89205e-05      
 7.56000e-01       2.13624e-05      
 7.74000e-01       2.39419e-05      
 7.92000e-01       2.66560e-05      
 8.10000e-01       2.95020e-05      
 8.28000e-01       3.24771e-05      
 8.46000e-01       3.55793e-05      
 8.64000e-01       3.88061e-05      
 8.82000e-01       4.21557e-05      
 9.00000e-01       4.56258e-05      
 9.18000e-01       4.92145e-05      
 9.36000e-01       5.29197e-05      
 9.54000e-01       5.67394e-05      
 9.72000e-01       6.06711e-05      
 9.90000e-01       6.47126e-05      
 1.00800e+00       6.88610e-05      
 1.02600e+00       7.31134e-05      
 1.04400e+00       7.74664e-05      
 1.06200e+00       8.19158e-05      
 1.08000e+00       8.64570e-05      
 1.09800e+00       9.10845e-05      
 1.11600e+00       9.57916e-05      
 1.13400e+00       1.00571e-04      
 1.15200e+00       1.05414e-04      
 1.17000e+00       1.10310e-04      
 1.18800e+00       1.15251e-04      
 1.20600e+00       1.20224e-04      
 1.22400e+00       1.25220e-04      
 1.24200e+00       1.30228e-04      
 1.26000e+00       1.35240e-04      
 1.27800e+00       1.40247e-04      
 1.29600e+00       1.45243e-04      
 1.31400e+00       1.50221e-04      
 1.33200e+00       1.55178e-04      
 1.35000e+00       1.60110e-04      
 1.36800e+00       1.65015e-04      
 1.38600e+00       1.69889e-04      
 1.40400e+00       1.74731e-04      
 1.42200e+00       1.79540e-04      
 1.44000e+00       1.84315e-04      
 1.45800e+00       1.89055e-04      
 1.47600e+00       1.93760e-04      
 1.49400e+00       1.98429e-04      
 1.51200e+00       2.03063e-04      
 1.53000e+00       2.07661e-04      
 1.54800e+00       2.12223e-04      
 1.56600e+00       2.16749e-04      
 1.58400e+00       2.21239e-04      
 1.60200e+00       2.25694e-04      
 1.62000e+00       2.30113e-04      
 1.63800e+00       2.34497e-04      
 1.65600e+00       2.38846e-04      
 1.67400e+00       2.43160e-04      
 1.69200e+00       2.47439e-04      
 1.71000e+00       2.51684e-04      
 1.72800e+00       2.55895e-04      
 1.74600e+00       2.60073e-04      
 1.76400e+00       2.64216e-04      
 1.78200e+00       2.68327e-04      
 1.80000e+00       2.72404e-04      
