
vgs_val           i("/M0/S" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer_pmos/spectre/schematic" ?result "dc") (A)

 0.00000e+00       3.98509e-12      
 1.80000e-02       6.31756e-12      
 3.60000e-02       1.00109e-11      
 5.40000e-02       1.58545e-11      
 7.20000e-02       2.50922e-11      
 9.00000e-02       3.96781e-11      
 1.08000e-01       6.26757e-11      
 1.26000e-01       9.88719e-11      
 1.44000e-01       1.55717e-10      
 1.62000e-01       2.44750e-10      
 1.80000e-01       3.83740e-10      
 1.98000e-01       5.99863e-10      
 2.16000e-01       9.34332e-10      
 2.34000e-01       1.44906e-09      
 2.52000e-01       2.23607e-09      
 2.70000e-01       3.43047e-09      
 2.88000e-01       5.22825e-09      
 3.06000e-01       7.91002e-09      
 3.24000e-01       1.18727e-08      
 3.42000e-01       1.76715e-08      
 3.60000e-01       2.60744e-08      
 3.78000e-01       3.81314e-08      
 3.96000e-01       5.52574e-08      
 4.14000e-01       7.93188e-08      
 4.32000e-01       1.12707e-07      
 4.50000e-01       1.58370e-07      
 4.68000e-01       2.19761e-07      
 4.86000e-01       3.00698e-07      
 5.04000e-01       4.05120e-07      
 5.22000e-01       5.36776e-07      
 5.40000e-01       6.98910e-07      
 5.58000e-01       8.94006e-07      
 5.76000e-01       1.12363e-06      
 5.94000e-01       1.38840e-06      
 6.12000e-01       1.68806e-06      
 6.30000e-01       2.02167e-06      
 6.48000e-01       2.38774e-06      
 6.66000e-01       2.78447e-06      
 6.84000e-01       3.20990e-06      
 7.02000e-01       3.66204e-06      
 7.20000e-01       4.13893e-06      
 7.38000e-01       4.63876e-06      
 7.56000e-01       5.15985e-06      
 7.74000e-01       5.70068e-06      
 7.92000e-01       6.25988e-06      
 8.10000e-01       6.83622e-06      
 8.28000e-01       7.42861e-06      
 8.46000e-01       8.03607e-06      
 8.64000e-01       8.65769e-06      
 8.82000e-01       9.29266e-06      
 9.00000e-01       9.94024e-06      
 9.18000e-01       1.05997e-05      
 9.36000e-01       1.12705e-05      
 9.54000e-01       1.19519e-05      
 9.72000e-01       1.26433e-05      
 9.90000e-01       1.33442e-05      
 1.00800e+00       1.40541e-05      
 1.02600e+00       1.47722e-05      
 1.04400e+00       1.54982e-05      
 1.06200e+00       1.62314e-05      
 1.08000e+00       1.69712e-05      
 1.09800e+00       1.77172e-05      
 1.11600e+00       1.84688e-05      
 1.13400e+00       1.92253e-05      
 1.15200e+00       1.99862e-05      
 1.17000e+00       2.07510e-05      
 1.18800e+00       2.15190e-05      
 1.20600e+00       2.22896e-05      
 1.22400e+00       2.30624e-05      
 1.24200e+00       2.38368e-05      
 1.26000e+00       2.46122e-05      
 1.27800e+00       2.53883e-05      
 1.29600e+00       2.61645e-05      
 1.31400e+00       2.69404e-05      
 1.33200e+00       2.77158e-05      
 1.35000e+00       2.84903e-05      
 1.36800e+00       2.92635e-05      
 1.38600e+00       3.00354e-05      
 1.40400e+00       3.08056e-05      
 1.42200e+00       3.15740e-05      
 1.44000e+00       3.23405e-05      
 1.45800e+00       3.31048e-05      
 1.47600e+00       3.38670e-05      
 1.49400e+00       3.46269e-05      
 1.51200e+00       3.53844e-05      
 1.53000e+00       3.61396e-05      
 1.54800e+00       3.68922e-05      
 1.56600e+00       3.76423e-05      
 1.58400e+00       3.83898e-05      
 1.60200e+00       3.91347e-05      
 1.62000e+00       3.98769e-05      
 1.63800e+00       4.06165e-05      
 1.65600e+00       4.13534e-05      
 1.67400e+00       4.20876e-05      
 1.69200e+00       4.28191e-05      
 1.71000e+00       4.35479e-05      
 1.72800e+00       4.42739e-05      
 1.74600e+00       4.49972e-05      
 1.76400e+00       4.57177e-05      
 1.78200e+00       4.64354e-05      
 1.80000e+00       4.71504e-05      
