
vgs_val           i("/M0/D" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer/spectre/schematic" ?result "dc") (A)

 0.00000e+00       1.89004e-12      
 1.80000e-02       3.56912e-12      
 3.60000e-02       6.73868e-12      
 5.40000e-02       1.27189e-11      
 7.20000e-02       2.39949e-11      
 9.00000e-02       4.52368e-11      
 1.08000e-01       8.52035e-11      
 1.26000e-01       1.60275e-10      
 1.44000e-01       3.00963e-10      
 1.62000e-01       5.63807e-10      
 1.80000e-01       1.05283e-09      
 1.98000e-01       1.95765e-09      
 2.16000e-01       3.61955e-09      
 2.34000e-01       6.64308e-09      
 2.52000e-01       1.20773e-08      
 2.70000e-01       2.16975e-08      
 2.88000e-01       3.84201e-08      
 3.06000e-01       6.68812e-08      
 3.24000e-01       1.14209e-07      
 3.42000e-01       1.91038e-07      
 3.60000e-01       3.12874e-07      
 3.78000e-01       5.01982e-07      
 3.96000e-01       7.89965e-07      
 4.14000e-01       1.22097e-06      
 4.32000e-01       1.85489e-06      
 4.50000e-01       2.76931e-06      
 4.68000e-01       4.05849e-06      
 4.86000e-01       5.82787e-06      
 5.04000e-01       8.18457e-06      
 5.22000e-01       1.12258e-05      
 5.40000e-01       1.50286e-05      
 5.58000e-01       1.96439e-05      
 5.76000e-01       2.50960e-05      
 5.94000e-01       3.13859e-05      
 6.12000e-01       3.84969e-05      
 6.30000e-01       4.64010e-05      
 6.48000e-01       5.50635e-05      
 6.66000e-01       6.44474e-05      
 6.84000e-01       7.45153e-05      
 7.02000e-01       8.52312e-05      
 7.20000e-01       9.65611e-05      
 7.38000e-01       1.08473e-04      
 7.56000e-01       1.20938e-04      
 7.74000e-01       1.33927e-04      
 7.92000e-01       1.47415e-04      
 8.10000e-01       1.61377e-04      
 8.28000e-01       1.75790e-04      
 8.46000e-01       1.90633e-04      
 8.64000e-01       2.05883e-04      
 8.82000e-01       2.21521e-04      
 9.00000e-01       2.37527e-04      
 9.18000e-01       2.53882e-04      
 9.36000e-01       2.70567e-04      
 9.54000e-01       2.87564e-04      
 9.72000e-01       3.04856e-04      
 9.90000e-01       3.22426e-04      
 1.00800e+00       3.40256e-04      
 1.02600e+00       3.58329e-04      
 1.04400e+00       3.76631e-04      
 1.06200e+00       3.95143e-04      
 1.08000e+00       4.13852e-04      
 1.09800e+00       4.32740e-04      
 1.11600e+00       4.51793e-04      
 1.13400e+00       4.70995e-04      
 1.15200e+00       4.90331e-04      
 1.17000e+00       5.09786e-04      
 1.18800e+00       5.29345e-04      
 1.20600e+00       5.48994e-04      
 1.22400e+00       5.68719e-04      
 1.24200e+00       5.88504e-04      
 1.26000e+00       6.08337e-04      
 1.27800e+00       6.28203e-04      
 1.29600e+00       6.48088e-04      
 1.31400e+00       6.67979e-04      
 1.33200e+00       6.87864e-04      
 1.35000e+00       7.07730e-04      
 1.36800e+00       7.27564e-04      
 1.38600e+00       7.47356e-04      
 1.40400e+00       7.67093e-04      
 1.42200e+00       7.86767e-04      
 1.44000e+00       8.06365e-04      
 1.45800e+00       8.25880e-04      
 1.47600e+00       8.45303e-04      
 1.49400e+00       8.64626e-04      
 1.51200e+00       8.83841e-04      
 1.53000e+00       9.02941e-04      
 1.54800e+00       9.21922e-04      
 1.56600e+00       9.40776e-04      
 1.58400e+00       9.59499e-04      
 1.60200e+00       9.78087e-04      
 1.62000e+00       9.96536e-04      
 1.63800e+00       1.01484e-03      
 1.65600e+00       1.03300e-03      
 1.67400e+00       1.05101e-03      
 1.69200e+00       1.06887e-03      
 1.71000e+00       1.08657e-03      
 1.72800e+00       1.10412e-03      
 1.74600e+00       1.12151e-03      
 1.76400e+00       1.13874e-03      
 1.78200e+00       1.15580e-03      
 1.80000e+00       1.17271e-03      
