
vdd_value         i("/M0/S" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer_pmos/spectre/schematic" ?result "dc") (A)

 0.00000e+00       0.00000e+00      
 1.80000e-02       8.07977e-08      
 3.60000e-02       1.44369e-07      
 5.40000e-02       1.92105e-07      
 7.20000e-02       2.25936e-07      
 9.00000e-02       2.48604e-07      
 1.08000e-01       2.63471e-07      
 1.26000e-01       2.73648e-07      
 1.44000e-01       2.81269e-07      
 1.62000e-01       2.87519e-07      
 1.80000e-01       2.92995e-07      
 1.98000e-01       2.97995e-07      
 2.16000e-01       3.02678e-07      
 2.34000e-01       3.07132e-07      
 2.52000e-01       3.11412e-07      
 2.70000e-01       3.15550e-07      
 2.88000e-01       3.19571e-07      
 3.06000e-01       3.23492e-07      
 3.24000e-01       3.27325e-07      
 3.42000e-01       3.31082e-07      
 3.60000e-01       3.34769e-07      
 3.78000e-01       3.38395e-07      
 3.96000e-01       3.41965e-07      
 4.14000e-01       3.45483e-07      
 4.32000e-01       3.48955e-07      
 4.50000e-01       3.52384e-07      
 4.68000e-01       3.55774e-07      
 4.86000e-01       3.59127e-07      
 5.04000e-01       3.62448e-07      
 5.22000e-01       3.65737e-07      
 5.40000e-01       3.68998e-07      
 5.58000e-01       3.72233e-07      
 5.76000e-01       3.75443e-07      
 5.94000e-01       3.78630e-07      
 6.12000e-01       3.81797e-07      
 6.30000e-01       3.84943e-07      
 6.48000e-01       3.88072e-07      
 6.66000e-01       3.91184e-07      
 6.84000e-01       3.94281e-07      
 7.02000e-01       3.97362e-07      
 7.20000e-01       4.00431e-07      
 7.38000e-01       4.03487e-07      
 7.56000e-01       4.06532e-07      
 7.74000e-01       4.09565e-07      
 7.92000e-01       4.12589e-07      
 8.10000e-01       4.15604e-07      
 8.28000e-01       4.18611e-07      
 8.46000e-01       4.21610e-07      
 8.64000e-01       4.24601e-07      
 8.82000e-01       4.27587e-07      
 9.00000e-01       4.30566e-07      
 9.18000e-01       4.33540e-07      
 9.36000e-01       4.36509e-07      
 9.54000e-01       4.39473e-07      
 9.72000e-01       4.42434e-07      
 9.90000e-01       4.45391e-07      
 1.00800e+00       4.48345e-07      
 1.02600e+00       4.51296e-07      
 1.04400e+00       4.54244e-07      
 1.06200e+00       4.57191e-07      
 1.08000e+00       4.60136e-07      
 1.09800e+00       4.63079e-07      
 1.11600e+00       4.66022e-07      
 1.13400e+00       4.68963e-07      
 1.15200e+00       4.71904e-07      
 1.17000e+00       4.74845e-07      
 1.18800e+00       4.77785e-07      
 1.20600e+00       4.80726e-07      
 1.22400e+00       4.83668e-07      
 1.24200e+00       4.86609e-07      
 1.26000e+00       4.89552e-07      
 1.27800e+00       4.92496e-07      
 1.29600e+00       4.95441e-07      
 1.31400e+00       4.98387e-07      
 1.33200e+00       5.01335e-07      
 1.35000e+00       5.04285e-07      
 1.36800e+00       5.07237e-07      
 1.38600e+00       5.10191e-07      
 1.40400e+00       5.13147e-07      
 1.42200e+00       5.16106e-07      
 1.44000e+00       5.19067e-07      
 1.45800e+00       5.22031e-07      
 1.47600e+00       5.24998e-07      
 1.49400e+00       5.27968e-07      
 1.51200e+00       5.30941e-07      
 1.53000e+00       5.33918e-07      
 1.54800e+00       5.36898e-07      
 1.56600e+00       5.39881e-07      
 1.58400e+00       5.42869e-07      
 1.60200e+00       5.45860e-07      
 1.62000e+00       5.48855e-07      
 1.63800e+00       5.51855e-07      
 1.65600e+00       5.54858e-07      
 1.67400e+00       5.57866e-07      
 1.69200e+00       5.60879e-07      
 1.71000e+00       5.63896e-07      
 1.72800e+00       5.66919e-07      
 1.74600e+00       5.69946e-07      
 1.76400e+00       5.72978e-07      
 1.78200e+00       5.76016e-07      
 1.80000e+00       5.79059e-07      
