
vgs_val           i("/M0/S" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer_pmos/spectre/schematic" ?result "dc") (A)

 0.00000e+00       2.03863e-12      
 1.80000e-02       3.32230e-12      
 3.60000e-02       5.41334e-12      
 5.40000e-02       8.81857e-12      
 7.20000e-02       1.43619e-11      
 9.00000e-02       2.33815e-11      
 1.08000e-01       3.80487e-11      
 1.26000e-01       6.18818e-11      
 1.44000e-01       1.00572e-10      
 1.62000e-01       1.63304e-10      
 1.80000e-01       2.64865e-10      
 1.98000e-01       4.28976e-10      
 2.16000e-01       6.93533e-10      
 2.34000e-01       1.11877e-09      
 2.52000e-01       1.79983e-09      
 2.70000e-01       2.88588e-09      
 2.88000e-01       4.60873e-09      
 3.06000e-01       7.32509e-09      
 3.24000e-01       1.15779e-08      
 3.42000e-01       1.81838e-08      
 3.60000e-01       2.83577e-08      
 3.78000e-01       4.38873e-08      
 3.96000e-01       6.73786e-08      
 4.14000e-01       1.02596e-07      
 4.32000e-01       1.54921e-07      
 4.50000e-01       2.31923e-07      
 4.68000e-01       3.43992e-07      
 4.86000e-01       5.04875e-07      
 5.04000e-01       7.31886e-07      
 5.22000e-01       1.04553e-06      
 5.40000e-01       1.46842e-06      
 5.58000e-01       2.02355e-06      
 5.76000e-01       2.73225e-06      
 5.94000e-01       3.61237e-06      
 6.12000e-01       4.67695e-06      
 6.30000e-01       5.93374e-06      
 6.48000e-01       7.38545e-06      
 6.66000e-01       9.03049e-06      
 6.84000e-01       1.08640e-05      
 7.02000e-01       1.28791e-05      
 7.20000e-01       1.50675e-05      
 7.38000e-01       1.74206e-05      
 7.56000e-01       1.99298e-05      
 7.74000e-01       2.25868e-05      
 7.92000e-01       2.53840e-05      
 8.10000e-01       2.83142e-05      
 8.28000e-01       3.13710e-05      
 8.46000e-01       3.45484e-05      
 8.64000e-01       3.78411e-05      
 8.82000e-01       4.12439e-05      
 9.00000e-01       4.47522e-05      
 9.18000e-01       4.83613e-05      
 9.36000e-01       5.20671e-05      
 9.54000e-01       5.58653e-05      
 9.72000e-01       5.97517e-05      
 9.90000e-01       6.37222e-05      
 1.00800e+00       6.77723e-05      
 1.02600e+00       7.18978e-05      
 1.04400e+00       7.60937e-05      
 1.06200e+00       8.03552e-05      
 1.08000e+00       8.46768e-05      
 1.09800e+00       8.90527e-05      
 1.11600e+00       9.34763e-05      
 1.13400e+00       9.79408e-05      
 1.15200e+00       1.02439e-04      
 1.17000e+00       1.06963e-04      
 1.18800e+00       1.11504e-04      
 1.20600e+00       1.16056e-04      
 1.22400e+00       1.20610e-04      
 1.24200e+00       1.25160e-04      
 1.26000e+00       1.29700e-04      
 1.27800e+00       1.34224e-04      
 1.29600e+00       1.38728e-04      
 1.31400e+00       1.43209e-04      
 1.33200e+00       1.47663e-04      
 1.35000e+00       1.52087e-04      
 1.36800e+00       1.56481e-04      
 1.38600e+00       1.60843e-04      
 1.40400e+00       1.65172e-04      
 1.42200e+00       1.69468e-04      
 1.44000e+00       1.73729e-04      
 1.45800e+00       1.77955e-04      
 1.47600e+00       1.82147e-04      
 1.49400e+00       1.86303e-04      
 1.51200e+00       1.90425e-04      
 1.53000e+00       1.94513e-04      
 1.54800e+00       1.98566e-04      
 1.56600e+00       2.02584e-04      
 1.58400e+00       2.06569e-04      
 1.60200e+00       2.10519e-04      
 1.62000e+00       2.14436e-04      
 1.63800e+00       2.18320e-04      
 1.65600e+00       2.22171e-04      
 1.67400e+00       2.25989e-04      
 1.69200e+00       2.29775e-04      
 1.71000e+00       2.33529e-04      
 1.72800e+00       2.37252e-04      
 1.74600e+00       2.40943e-04      
 1.76400e+00       2.44603e-04      
 1.78200e+00       2.48233e-04      
 1.80000e+00       2.51833e-04      
