
vgs_val           i("/M0/D" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer/spectre/schematic" ?result "dc") (A)

 0.00000e+00       1.24200e-11      
 1.80000e-02       2.39838e-11      
 3.60000e-02       4.62776e-11      
 5.40000e-02       8.91939e-11      
 7.20000e-02       1.71641e-10      
 9.00000e-02       3.29589e-10      
 1.08000e-01       6.31023e-10      
 1.26000e-01       1.20332e-09      
 1.44000e-01       2.28239e-09      
 1.62000e-01       4.29835e-09      
 1.80000e-01       8.02011e-09      
 1.98000e-01       1.47882e-08      
 2.16000e-01       2.68704e-08      
 2.34000e-01       4.79755e-08      
 2.52000e-01       8.39570e-08      
 2.70000e-01       1.43758e-07      
 2.88000e-01       2.40691e-07      
 3.06000e-01       3.94236e-07      
 3.24000e-01       6.32494e-07      
 3.42000e-01       9.95246e-07      
 3.60000e-01       1.53695e-06      
 3.78000e-01       2.32841e-06      
 3.96000e-01       3.45537e-06      
 4.14000e-01       5.01314e-06      
 4.32000e-01       7.09766e-06      
 4.50000e-01       9.79550e-06      
 4.68000e-01       1.31758e-05      
 4.86000e-01       1.72862e-05      
 5.04000e-01       2.21533e-05      
 5.22000e-01       2.77858e-05      
 5.40000e-01       3.41788e-05      
 5.58000e-01       4.13182e-05      
 5.76000e-01       4.91839e-05      
 5.94000e-01       5.77516e-05      
 6.12000e-01       6.69942e-05      
 6.30000e-01       7.68815e-05      
 6.48000e-01       8.73800e-05      
 6.66000e-01       9.84519e-05      
 6.84000e-01       1.10055e-04      
 7.02000e-01       1.22140e-04      
 7.20000e-01       1.34654e-04      
 7.38000e-01       1.47541e-04      
 7.56000e-01       1.60743e-04      
 7.74000e-01       1.74202e-04      
 7.92000e-01       1.87866e-04      
 8.10000e-01       2.01691e-04      
 8.28000e-01       2.15636e-04      
 8.46000e-01       2.29669e-04      
 8.64000e-01       2.43764e-04      
 8.82000e-01       2.57899e-04      
 9.00000e-01       2.72057e-04      
 9.18000e-01       2.86223e-04      
 9.36000e-01       3.00386e-04      
 9.54000e-01       3.14535e-04      
 9.72000e-01       3.28662e-04      
 9.90000e-01       3.42758e-04      
 1.00800e+00       3.56818e-04      
 1.02600e+00       3.70835e-04      
 1.04400e+00       3.84804e-04      
 1.06200e+00       3.98719e-04      
 1.08000e+00       4.12576e-04      
 1.09800e+00       4.26371e-04      
 1.11600e+00       4.40099e-04      
 1.13400e+00       4.53757e-04      
 1.15200e+00       4.67342e-04      
 1.17000e+00       4.80849e-04      
 1.18800e+00       4.94276e-04      
 1.20600e+00       5.07619e-04      
 1.22400e+00       5.20876e-04      
 1.24200e+00       5.34044e-04      
 1.26000e+00       5.47120e-04      
 1.27800e+00       5.60101e-04      
 1.29600e+00       5.72986e-04      
 1.31400e+00       5.85772e-04      
 1.33200e+00       5.98456e-04      
 1.35000e+00       6.11037e-04      
 1.36800e+00       6.23512e-04      
 1.38600e+00       6.35880e-04      
 1.40400e+00       6.48139e-04      
 1.42200e+00       6.60286e-04      
 1.44000e+00       6.72321e-04      
 1.45800e+00       6.84241e-04      
 1.47600e+00       6.96046e-04      
 1.49400e+00       7.07733e-04      
 1.51200e+00       7.19301e-04      
 1.53000e+00       7.30750e-04      
 1.54800e+00       7.42077e-04      
 1.56600e+00       7.53282e-04      
 1.58400e+00       7.64364e-04      
 1.60200e+00       7.75322e-04      
 1.62000e+00       7.86154e-04      
 1.63800e+00       7.96860e-04      
 1.65600e+00       8.07439e-04      
 1.67400e+00       8.17891e-04      
 1.69200e+00       8.28214e-04      
 1.71000e+00       8.38409e-04      
 1.72800e+00       8.48474e-04      
 1.74600e+00       8.58410e-04      
 1.76400e+00       8.68215e-04      
 1.78200e+00       8.77889e-04      
 1.80000e+00       8.87433e-04      
