
vdd_value         i("/M0/S" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer_pmos/spectre/schematic" ?result "dc") (A)

 0.00000e+00       0.00000e+00      
 1.80000e-02       2.97985e-08      
 3.60000e-02       5.04206e-08      
 5.40000e-02       6.31349e-08      
 7.20000e-02       7.00485e-08      
 9.00000e-02       7.35588e-08      
 1.08000e-01       7.54129e-08      
 1.26000e-01       7.65140e-08      
 1.44000e-01       7.72611e-08      
 1.62000e-01       7.78283e-08      
 1.80000e-01       7.82956e-08      
 1.98000e-01       7.87028e-08      
 2.16000e-01       7.90712e-08      
 2.34000e-01       7.94127e-08      
 2.52000e-01       7.97348e-08      
 2.70000e-01       8.00420e-08      
 2.88000e-01       8.03376e-08      
 3.06000e-01       8.06235e-08      
 3.24000e-01       8.09015e-08      
 3.42000e-01       8.11727e-08      
 3.60000e-01       8.14379e-08      
 3.78000e-01       8.16979e-08      
 3.96000e-01       8.19532e-08      
 4.14000e-01       8.22044e-08      
 4.32000e-01       8.24516e-08      
 4.50000e-01       8.26954e-08      
 4.68000e-01       8.29360e-08      
 4.86000e-01       8.31736e-08      
 5.04000e-01       8.34085e-08      
 5.22000e-01       8.36408e-08      
 5.40000e-01       8.38707e-08      
 5.58000e-01       8.40984e-08      
 5.76000e-01       8.43239e-08      
 5.94000e-01       8.45475e-08      
 6.12000e-01       8.47692e-08      
 6.30000e-01       8.49891e-08      
 6.48000e-01       8.52074e-08      
 6.66000e-01       8.54241e-08      
 6.84000e-01       8.56393e-08      
 7.02000e-01       8.58531e-08      
 7.20000e-01       8.60655e-08      
 7.38000e-01       8.62766e-08      
 7.56000e-01       8.64865e-08      
 7.74000e-01       8.66953e-08      
 7.92000e-01       8.69029e-08      
 8.10000e-01       8.71094e-08      
 8.28000e-01       8.73150e-08      
 8.46000e-01       8.75195e-08      
 8.64000e-01       8.77231e-08      
 8.82000e-01       8.79258e-08      
 9.00000e-01       8.81277e-08      
 9.18000e-01       8.83287e-08      
 9.36000e-01       8.85289e-08      
 9.54000e-01       8.87284e-08      
 9.72000e-01       8.89272e-08      
 9.90000e-01       8.91252e-08      
 1.00800e+00       8.93225e-08      
 1.02600e+00       8.95192e-08      
 1.04400e+00       8.97153e-08      
 1.06200e+00       8.99108e-08      
 1.08000e+00       9.01056e-08      
 1.09800e+00       9.03000e-08      
 1.11600e+00       9.04937e-08      
 1.13400e+00       9.06870e-08      
 1.15200e+00       9.08797e-08      
 1.17000e+00       9.10719e-08      
 1.18800e+00       9.12637e-08      
 1.20600e+00       9.14550e-08      
 1.22400e+00       9.16458e-08      
 1.24200e+00       9.18363e-08      
 1.26000e+00       9.20263e-08      
 1.27800e+00       9.22159e-08      
 1.29600e+00       9.24051e-08      
 1.31400e+00       9.25940e-08      
 1.33200e+00       9.27824e-08      
 1.35000e+00       9.29706e-08      
 1.36800e+00       9.31583e-08      
 1.38600e+00       9.33458e-08      
 1.40400e+00       9.35329e-08      
 1.42200e+00       9.37197e-08      
 1.44000e+00       9.39063e-08      
 1.45800e+00       9.40925e-08      
 1.47600e+00       9.42784e-08      
 1.49400e+00       9.44641e-08      
 1.51200e+00       9.46495e-08      
 1.53000e+00       9.48347e-08      
 1.54800e+00       9.50196e-08      
 1.56600e+00       9.52043e-08      
 1.58400e+00       9.53887e-08      
 1.60200e+00       9.55730e-08      
 1.62000e+00       9.57570e-08      
 1.63800e+00       9.59409e-08      
 1.65600e+00       9.61245e-08      
 1.67400e+00       9.63080e-08      
 1.69200e+00       9.64913e-08      
 1.71000e+00       9.66744e-08      
 1.72800e+00       9.68574e-08      
 1.74600e+00       9.70402e-08      
 1.76400e+00       9.72229e-08      
 1.78200e+00       9.74055e-08      
 1.80000e+00       9.75879e-08      
