
vdd_value         i("/M0/S" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer_pmos/spectre/schematic" ?result "dc") (A)

 0.00000e+00       0.00000e+00      
 1.80000e-02       4.25499e-06      
 3.60000e-02       8.28666e-06      
 5.40000e-02       1.20954e-05      
 7.20000e-02       1.56816e-05      
 9.00000e-02       1.90459e-05      
 1.08000e-01       2.21887e-05      
 1.26000e-01       2.51106e-05      
 1.44000e-01       2.78126e-05      
 1.62000e-01       3.02954e-05      
 1.80000e-01       3.25603e-05      
 1.98000e-01       3.46089e-05      
 2.16000e-01       3.64434e-05      
 2.34000e-01       3.80666e-05      
 2.52000e-01       3.94828e-05      
 2.70000e-01       4.06979e-05      
 2.88000e-01       4.17202e-05      
 3.06000e-01       4.25616e-05      
 3.24000e-01       4.32376e-05      
 3.42000e-01       4.37682e-05      
 3.60000e-01       4.41763e-05      
 3.78000e-01       4.44862e-05      
 3.96000e-01       4.47208e-05      
 4.14000e-01       4.48998e-05      
 4.32000e-01       4.50388e-05      
 4.50000e-01       4.51493e-05      
 4.68000e-01       4.52393e-05      
 4.86000e-01       4.53147e-05      
 5.04000e-01       4.53793e-05      
 5.22000e-01       4.54359e-05      
 5.40000e-01       4.54865e-05      
 5.58000e-01       4.55323e-05      
 5.76000e-01       4.55743e-05      
 5.94000e-01       4.56134e-05      
 6.12000e-01       4.56499e-05      
 6.30000e-01       4.56843e-05      
 6.48000e-01       4.57169e-05      
 6.66000e-01       4.57480e-05      
 6.84000e-01       4.57777e-05      
 7.02000e-01       4.58063e-05      
 7.20000e-01       4.58337e-05      
 7.38000e-01       4.58602e-05      
 7.56000e-01       4.58858e-05      
 7.74000e-01       4.59106e-05      
 7.92000e-01       4.59347e-05      
 8.10000e-01       4.59581e-05      
 8.28000e-01       4.59808e-05      
 8.46000e-01       4.60029e-05      
 8.64000e-01       4.60245e-05      
 8.82000e-01       4.60456e-05      
 9.00000e-01       4.60662e-05      
 9.18000e-01       4.60863e-05      
 9.36000e-01       4.61059e-05      
 9.54000e-01       4.61252e-05      
 9.72000e-01       4.61440e-05      
 9.90000e-01       4.61625e-05      
 1.00800e+00       4.61806e-05      
 1.02600e+00       4.61984e-05      
 1.04400e+00       4.62158e-05      
 1.06200e+00       4.62329e-05      
 1.08000e+00       4.62497e-05      
 1.09800e+00       4.62662e-05      
 1.11600e+00       4.62825e-05      
 1.13400e+00       4.62984e-05      
 1.15200e+00       4.63141e-05      
 1.17000e+00       4.63296e-05      
 1.18800e+00       4.63448e-05      
 1.20600e+00       4.63598e-05      
 1.22400e+00       4.63746e-05      
 1.24200e+00       4.63891e-05      
 1.26000e+00       4.64035e-05      
 1.27800e+00       4.64176e-05      
 1.29600e+00       4.64316e-05      
 1.31400e+00       4.64454e-05      
 1.33200e+00       4.64589e-05      
 1.35000e+00       4.64724e-05      
 1.36800e+00       4.64856e-05      
 1.38600e+00       4.64987e-05      
 1.40400e+00       4.65116e-05      
 1.42200e+00       4.65243e-05      
 1.44000e+00       4.65370e-05      
 1.45800e+00       4.65494e-05      
 1.47600e+00       4.65617e-05      
 1.49400e+00       4.65739e-05      
 1.51200e+00       4.65860e-05      
 1.53000e+00       4.65979e-05      
 1.54800e+00       4.66097e-05      
 1.56600e+00       4.66214e-05      
 1.58400e+00       4.66329e-05      
 1.60200e+00       4.66444e-05      
 1.62000e+00       4.66557e-05      
 1.63800e+00       4.66669e-05      
 1.65600e+00       4.66780e-05      
 1.67400e+00       4.66890e-05      
 1.69200e+00       4.66999e-05      
 1.71000e+00       4.67107e-05      
 1.72800e+00       4.67214e-05      
 1.74600e+00       4.67321e-05      
 1.76400e+00       4.67426e-05      
 1.78200e+00       4.67530e-05      
 1.80000e+00       4.67634e-05      
