
vdd_value         i("/M0/D" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer/spectre/schematic" ?result "dc") (A)

 0.00000e+00       0.00000e+00      
 1.80000e-02       1.31342e-06      
 3.60000e-02       2.28644e-06      
 5.40000e-02       2.96574e-06      
 7.20000e-02       3.41524e-06      
 9.00000e-02       3.71119e-06      
 1.08000e-01       3.91982e-06      
 1.26000e-01       4.08250e-06      
 1.44000e-01       4.22033e-06      
 1.62000e-01       4.34351e-06      
 1.80000e-01       4.45720e-06      
 1.98000e-01       4.56427e-06      
 2.16000e-01       4.66645e-06      
 2.34000e-01       4.76488e-06      
 2.52000e-01       4.86037e-06      
 2.70000e-01       4.95349e-06      
 2.88000e-01       5.04471e-06      
 3.06000e-01       5.13438e-06      
 3.24000e-01       5.22279e-06      
 3.42000e-01       5.31018e-06      
 3.60000e-01       5.39674e-06      
 3.78000e-01       5.48265e-06      
 3.96000e-01       5.56804e-06      
 4.14000e-01       5.65305e-06      
 4.32000e-01       5.73778e-06      
 4.50000e-01       5.82232e-06      
 4.68000e-01       5.90677e-06      
 4.86000e-01       5.99118e-06      
 5.04000e-01       6.07564e-06      
 5.22000e-01       6.16020e-06      
 5.40000e-01       6.24490e-06      
 5.58000e-01       6.32981e-06      
 5.76000e-01       6.41496e-06      
 5.94000e-01       6.50040e-06      
 6.12000e-01       6.58615e-06      
 6.30000e-01       6.67226e-06      
 6.48000e-01       6.75875e-06      
 6.66000e-01       6.84565e-06      
 6.84000e-01       6.93299e-06      
 7.02000e-01       7.02079e-06      
 7.20000e-01       7.10908e-06      
 7.38000e-01       7.19787e-06      
 7.56000e-01       7.28719e-06      
 7.74000e-01       7.37706e-06      
 7.92000e-01       7.46749e-06      
 8.10000e-01       7.55849e-06      
 8.28000e-01       7.65010e-06      
 8.46000e-01       7.74231e-06      
 8.64000e-01       7.83515e-06      
 8.82000e-01       7.92862e-06      
 9.00000e-01       8.02275e-06      
 9.18000e-01       8.11753e-06      
 9.36000e-01       8.21300e-06      
 9.54000e-01       8.30914e-06      
 9.72000e-01       8.40599e-06      
 9.90000e-01       8.50354e-06      
 1.00800e+00       8.60181e-06      
 1.02600e+00       8.70080e-06      
 1.04400e+00       8.80053e-06      
 1.06200e+00       8.90101e-06      
 1.08000e+00       9.00224e-06      
 1.09800e+00       9.10424e-06      
 1.11600e+00       9.20700e-06      
 1.13400e+00       9.31054e-06      
 1.15200e+00       9.41487e-06      
 1.17000e+00       9.52000e-06      
 1.18800e+00       9.62592e-06      
 1.20600e+00       9.73266e-06      
 1.22400e+00       9.84021e-06      
 1.24200e+00       9.94859e-06      
 1.26000e+00       1.00578e-05      
 1.27800e+00       1.01678e-05      
 1.29600e+00       1.02787e-05      
 1.31400e+00       1.03905e-05      
 1.33200e+00       1.05030e-05      
 1.35000e+00       1.06165e-05      
 1.36800e+00       1.07308e-05      
 1.38600e+00       1.08460e-05      
 1.40400e+00       1.09621e-05      
 1.42200e+00       1.10790e-05      
 1.44000e+00       1.11969e-05      
 1.45800e+00       1.13156e-05      
 1.47600e+00       1.14353e-05      
 1.49400e+00       1.15558e-05      
 1.51200e+00       1.16773e-05      
 1.53000e+00       1.17997e-05      
 1.54800e+00       1.19230e-05      
 1.56600e+00       1.20472e-05      
 1.58400e+00       1.21724e-05      
 1.60200e+00       1.22985e-05      
 1.62000e+00       1.24255e-05      
 1.63800e+00       1.25535e-05      
 1.65600e+00       1.26825e-05      
 1.67400e+00       1.28124e-05      
 1.69200e+00       1.29433e-05      
 1.71000e+00       1.30751e-05      
 1.72800e+00       1.32079e-05      
 1.74600e+00       1.33417e-05      
 1.76400e+00       1.34764e-05      
 1.78200e+00       1.36122e-05      
 1.80000e+00       1.37489e-05      
