
vgs_val           i("/M0/S" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer_pmos/spectre/schematic" ?result "dc") (A)

 0.00000e+00       5.81988e-12      
 1.80000e-02       9.22648e-12      
 3.60000e-02       1.46244e-11      
 5.40000e-02       2.31751e-11      
 7.20000e-02       3.67147e-11      
 9.00000e-02       5.81435e-11      
 1.08000e-01       9.20379e-11      
 1.26000e-01       1.45609e-10      
 1.44000e-01       2.30198e-10      
 1.62000e-01       3.63609e-10      
 1.80000e-01       5.73713e-10      
 1.98000e-01       9.04001e-10      
 2.16000e-01       1.42207e-09      
 2.34000e-01       2.23250e-09      
 2.52000e-01       3.49611e-09      
 2.70000e-01       5.45864e-09      
 2.88000e-01       8.49255e-09      
 3.06000e-01       1.31575e-08      
 3.24000e-01       2.02863e-08      
 3.42000e-01       3.11056e-08      
 3.60000e-01       4.74042e-08      
 3.78000e-01       7.17648e-08      
 3.96000e-01       1.07884e-07      
 4.14000e-01       1.61006e-07      
 4.32000e-01       2.38495e-07      
 4.50000e-01       3.50552e-07      
 4.68000e-01       5.10997e-07      
 4.86000e-01       7.37964e-07      
 5.04000e-01       1.05421e-06      
 5.22000e-01       1.48669e-06      
 5.40000e-01       2.06518e-06      
 5.58000e-01       2.81995e-06      
 5.76000e-01       3.77880e-06      
 5.94000e-01       4.96421e-06      
 6.12000e-01       6.39112e-06      
 6.30000e-01       8.06585e-06      
 6.48000e-01       9.98617e-06      
 6.66000e-01       1.21423e-05      
 6.84000e-01       1.45186e-05      
 7.02000e-01       1.70947e-05      
 7.20000e-01       1.98475e-05      
 7.38000e-01       2.27519e-05      
 7.56000e-01       2.57816e-05      
 7.74000e-01       2.89098e-05      
 7.92000e-01       3.21108e-05      
 8.10000e-01       3.53602e-05      
 8.28000e-01       3.86368e-05      
 8.46000e-01       4.19229e-05      
 8.64000e-01       4.52046e-05      
 8.82000e-01       4.84715e-05      
 9.00000e-01       5.17160e-05      
 9.18000e-01       5.49327e-05      
 9.36000e-01       5.81179e-05      
 9.54000e-01       6.12691e-05      
 9.72000e-01       6.43849e-05      
 9.90000e-01       6.74641e-05      
 1.00800e+00       7.05063e-05      
 1.02600e+00       7.35113e-05      
 1.04400e+00       7.64791e-05      
 1.06200e+00       7.94098e-05      
 1.08000e+00       8.23038e-05      
 1.09800e+00       8.51615e-05      
 1.11600e+00       8.79832e-05      
 1.13400e+00       9.07694e-05      
 1.15200e+00       9.35208e-05      
 1.17000e+00       9.62377e-05      
 1.18800e+00       9.89207e-05      
 1.20600e+00       1.01570e-04      
 1.22400e+00       1.04187e-04      
 1.24200e+00       1.06772e-04      
 1.26000e+00       1.09325e-04      
 1.27800e+00       1.11846e-04      
 1.29600e+00       1.14337e-04      
 1.31400e+00       1.16798e-04      
 1.33200e+00       1.19230e-04      
 1.35000e+00       1.21632e-04      
 1.36800e+00       1.24006e-04      
 1.38600e+00       1.26351e-04      
 1.40400e+00       1.28669e-04      
 1.42200e+00       1.30960e-04      
 1.44000e+00       1.33224e-04      
 1.45800e+00       1.35462e-04      
 1.47600e+00       1.37675e-04      
 1.49400e+00       1.39862e-04      
 1.51200e+00       1.42024e-04      
 1.53000e+00       1.44162e-04      
 1.54800e+00       1.46276e-04      
 1.56600e+00       1.48366e-04      
 1.58400e+00       1.50434e-04      
 1.60200e+00       1.52478e-04      
 1.62000e+00       1.54500e-04      
 1.63800e+00       1.56500e-04      
 1.65600e+00       1.58479e-04      
 1.67400e+00       1.60436e-04      
 1.69200e+00       1.62373e-04      
 1.71000e+00       1.64289e-04      
 1.72800e+00       1.66184e-04      
 1.74600e+00       1.68060e-04      
 1.76400e+00       1.69917e-04      
 1.78200e+00       1.71754e-04      
 1.80000e+00       1.73572e-04      
