
vgs_val           i("/M0/D" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer/spectre/schematic" ?result "dc") (A)

 0.00000e+00       1.39731e-11      
 1.80000e-02       2.69821e-11      
 3.60000e-02       5.20592e-11      
 5.40000e-02       1.00325e-10      
 7.20000e-02       1.93024e-10      
 9.00000e-02       3.70541e-10      
 1.08000e-01       7.09133e-10      
 1.26000e-01       1.35149e-09      
 1.44000e-01       2.56135e-09      
 1.62000e-01       4.81852e-09      
 1.80000e-01       8.97798e-09      
 1.98000e-01       1.65246e-08      
 2.16000e-01       2.99589e-08      
 2.34000e-01       5.33491e-08      
 2.52000e-01       9.30825e-08      
 2.70000e-01       1.58869e-07      
 2.88000e-01       2.65105e-07      
 3.06000e-01       4.32776e-07      
 3.24000e-01       6.92040e-07      
 3.42000e-01       1.08536e-06      
 3.60000e-01       1.67045e-06      
 3.78000e-01       2.52161e-06      
 3.96000e-01       3.72788e-06      
 4.14000e-01       5.38702e-06      
 4.32000e-01       7.59631e-06      
 4.50000e-01       1.04426e-05      
 4.68000e-01       1.39948e-05      
 4.86000e-01       1.83006e-05      
 5.04000e-01       2.33872e-05      
 5.22000e-01       2.92654e-05      
 5.40000e-01       3.59337e-05      
 5.58000e-01       4.33834e-05      
 5.76000e-01       5.16011e-05      
 5.94000e-01       6.05722e-05      
 6.12000e-01       7.02813e-05      
 6.30000e-01       8.07135e-05      
 6.48000e-01       9.18549e-05      
 6.66000e-01       1.03692e-04      
 6.84000e-01       1.16212e-04      
 7.02000e-01       1.29403e-04      
 7.20000e-01       1.43253e-04      
 7.38000e-01       1.57751e-04      
 7.56000e-01       1.72884e-04      
 7.74000e-01       1.88640e-04      
 7.92000e-01       2.05009e-04      
 8.10000e-01       2.21976e-04      
 8.28000e-01       2.39530e-04      
 8.46000e-01       2.57656e-04      
 8.64000e-01       2.76341e-04      
 8.82000e-01       2.95569e-04      
 9.00000e-01       3.15325e-04      
 9.18000e-01       3.35592e-04      
 9.36000e-01       3.56352e-04      
 9.54000e-01       3.77586e-04      
 9.72000e-01       3.99273e-04      
 9.90000e-01       4.21392e-04      
 1.00800e+00       4.43918e-04      
 1.02600e+00       4.66827e-04      
 1.04400e+00       4.90090e-04      
 1.06200e+00       5.13678e-04      
 1.08000e+00       5.37559e-04      
 1.09800e+00       5.61701e-04      
 1.11600e+00       5.86067e-04      
 1.13400e+00       6.10622e-04      
 1.15200e+00       6.35330e-04      
 1.17000e+00       6.60154e-04      
 1.18800e+00       6.85060e-04      
 1.20600e+00       7.10012e-04      
 1.22400e+00       7.34982e-04      
 1.24200e+00       7.59939e-04      
 1.26000e+00       7.84859e-04      
 1.27800e+00       8.09720e-04      
 1.29600e+00       8.34501e-04      
 1.31400e+00       8.59186e-04      
 1.33200e+00       8.83760e-04      
 1.35000e+00       9.08211e-04      
 1.36800e+00       9.32526e-04      
 1.38600e+00       9.56696e-04      
 1.40400e+00       9.80714e-04      
 1.42200e+00       1.00457e-03      
 1.44000e+00       1.02826e-03      
 1.45800e+00       1.05178e-03      
 1.47600e+00       1.07512e-03      
 1.49400e+00       1.09827e-03      
 1.51200e+00       1.12124e-03      
 1.53000e+00       1.14401e-03      
 1.54800e+00       1.16659e-03      
 1.56600e+00       1.18897e-03      
 1.58400e+00       1.21115e-03      
 1.60200e+00       1.23312e-03      
 1.62000e+00       1.25489e-03      
 1.63800e+00       1.27644e-03      
 1.65600e+00       1.29778e-03      
 1.67400e+00       1.31891e-03      
 1.69200e+00       1.33982e-03      
 1.71000e+00       1.36051e-03      
 1.72800e+00       1.38098e-03      
 1.74600e+00       1.40122e-03      
 1.76400e+00       1.42124e-03      
 1.78200e+00       1.44104e-03      
 1.80000e+00       1.46061e-03      
