
vdd_value         i("/M0/D" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer/spectre/schematic" ?result "dc") (A)

 0.00000e+00       0.00000e+00      
 1.80000e-02       1.96451e-06      
 3.60000e-02       3.43063e-06      
 5.40000e-02       4.44989e-06      
 7.20000e-02       5.10352e-06      
 9.00000e-02       5.50066e-06      
 1.08000e-01       5.74699e-06      
 1.26000e-01       5.91433e-06      
 1.44000e-01       6.04084e-06      
 1.62000e-01       6.14492e-06      
 1.80000e-01       6.23556e-06      
 1.98000e-01       6.31745e-06      
 2.16000e-01       6.39323e-06      
 2.34000e-01       6.46450e-06      
 2.52000e-01       6.53231e-06      
 2.70000e-01       6.59739e-06      
 2.88000e-01       6.66025e-06      
 3.06000e-01       6.72129e-06      
 3.24000e-01       6.78081e-06      
 3.42000e-01       6.83905e-06      
 3.60000e-01       6.89620e-06      
 3.78000e-01       6.95242e-06      
 3.96000e-01       7.00784e-06      
 4.14000e-01       7.06257e-06      
 4.32000e-01       7.11670e-06      
 4.50000e-01       7.17033e-06      
 4.68000e-01       7.22352e-06      
 4.86000e-01       7.27632e-06      
 5.04000e-01       7.32880e-06      
 5.22000e-01       7.38099e-06      
 5.40000e-01       7.43295e-06      
 5.58000e-01       7.48471e-06      
 5.76000e-01       7.53630e-06      
 5.94000e-01       7.58775e-06      
 6.12000e-01       7.63909e-06      
 6.30000e-01       7.69034e-06      
 6.48000e-01       7.74152e-06      
 6.66000e-01       7.79266e-06      
 6.84000e-01       7.84377e-06      
 7.02000e-01       7.89487e-06      
 7.20000e-01       7.94597e-06      
 7.38000e-01       7.99709e-06      
 7.56000e-01       8.04824e-06      
 7.74000e-01       8.09943e-06      
 7.92000e-01       8.15067e-06      
 8.10000e-01       8.20197e-06      
 8.28000e-01       8.25334e-06      
 8.46000e-01       8.30480e-06      
 8.64000e-01       8.35634e-06      
 8.82000e-01       8.40797e-06      
 9.00000e-01       8.45971e-06      
 9.18000e-01       8.51156e-06      
 9.36000e-01       8.56352e-06      
 9.54000e-01       8.61560e-06      
 9.72000e-01       8.66781e-06      
 9.90000e-01       8.72015e-06      
 1.00800e+00       8.77262e-06      
 1.02600e+00       8.82523e-06      
 1.04400e+00       8.87799e-06      
 1.06200e+00       8.93089e-06      
 1.08000e+00       8.98395e-06      
 1.09800e+00       9.03716e-06      
 1.11600e+00       9.09053e-06      
 1.13400e+00       9.14406e-06      
 1.15200e+00       9.19776e-06      
 1.17000e+00       9.25162e-06      
 1.18800e+00       9.30566e-06      
 1.20600e+00       9.35987e-06      
 1.22400e+00       9.41425e-06      
 1.24200e+00       9.46882e-06      
 1.26000e+00       9.52356e-06      
 1.27800e+00       9.57849e-06      
 1.29600e+00       9.63360e-06      
 1.31400e+00       9.68890e-06      
 1.33200e+00       9.74438e-06      
 1.35000e+00       9.80006e-06      
 1.36800e+00       9.85593e-06      
 1.38600e+00       9.91200e-06      
 1.40400e+00       9.96826e-06      
 1.42200e+00       1.00247e-05      
 1.44000e+00       1.00814e-05      
 1.45800e+00       1.01382e-05      
 1.47600e+00       1.01953e-05      
 1.49400e+00       1.02526e-05      
 1.51200e+00       1.03100e-05      
 1.53000e+00       1.03677e-05      
 1.54800e+00       1.04256e-05      
 1.56600e+00       1.04837e-05      
 1.58400e+00       1.05420e-05      
 1.60200e+00       1.06005e-05      
 1.62000e+00       1.06593e-05      
 1.63800e+00       1.07182e-05      
 1.65600e+00       1.07774e-05      
 1.67400e+00       1.08367e-05      
 1.69200e+00       1.08963e-05      
 1.71000e+00       1.09561e-05      
 1.72800e+00       1.10162e-05      
 1.74600e+00       1.10764e-05      
 1.76400e+00       1.11369e-05      
 1.78200e+00       1.11976e-05      
 1.80000e+00       1.12585e-05      
