
vgs_val           i("/M0/D" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer/spectre/schematic" ?result "dc") (A)

 0.00000e+00       6.23559e-12      
 1.80000e-02       1.10178e-11      
 3.60000e-02       1.94620e-11      
 5.40000e-02       3.43647e-11      
 7.20000e-02       6.06477e-11      
 9.00000e-02       1.06959e-10      
 1.08000e-01       1.88462e-10      
 1.26000e-01       3.31673e-10      
 1.44000e-01       5.82787e-10      
 1.62000e-01       1.02191e-09      
 1.80000e-01       1.78707e-09      
 1.98000e-01       3.11426e-09      
 2.16000e-01       5.40279e-09      
 2.34000e-01       9.31976e-09      
 2.52000e-01       1.59619e-08      
 2.70000e-01       2.70981e-08      
 2.88000e-01       4.55170e-08      
 3.06000e-01       7.55061e-08      
 3.24000e-01       1.23484e-07      
 3.42000e-01       1.98812e-07      
 3.60000e-01       3.14843e-07      
 3.78000e-01       4.90279e-07      
 3.96000e-01       7.50983e-07      
 4.14000e-01       1.13227e-06      
 4.32000e-01       1.68154e-06      
 4.50000e-01       2.46068e-06      
 4.68000e-01       3.54724e-06      
 4.86000e-01       5.03295e-06      
 5.04000e-01       7.01872e-06      
 5.22000e-01       9.60599e-06      
 5.40000e-01       1.28860e-05      
 5.58000e-01       1.69297e-05      
 5.76000e-01       2.17806e-05      
 5.94000e-01       2.74530e-05      
 6.12000e-01       3.39344e-05      
 6.30000e-01       4.11911e-05      
 6.48000e-01       4.91754e-05      
 6.66000e-01       5.78314e-05      
 6.84000e-01       6.71012e-05      
 7.02000e-01       7.69275e-05      
 7.20000e-01       8.72567e-05      
 7.38000e-01       9.80397e-05      
 7.56000e-01       1.09232e-04      
 7.74000e-01       1.20795e-04      
 7.92000e-01       1.32693e-04      
 8.10000e-01       1.44896e-04      
 8.28000e-01       1.57376e-04      
 8.46000e-01       1.70108e-04      
 8.64000e-01       1.83071e-04      
 8.82000e-01       1.96246e-04      
 9.00000e-01       2.09614e-04      
 9.18000e-01       2.23160e-04      
 9.36000e-01       2.36869e-04      
 9.54000e-01       2.50728e-04      
 9.72000e-01       2.64724e-04      
 9.90000e-01       2.78846e-04      
 1.00800e+00       2.93083e-04      
 1.02600e+00       3.07426e-04      
 1.04400e+00       3.21864e-04      
 1.06200e+00       3.36389e-04      
 1.08000e+00       3.50993e-04      
 1.09800e+00       3.65669e-04      
 1.11600e+00       3.80408e-04      
 1.13400e+00       3.95203e-04      
 1.15200e+00       4.10049e-04      
 1.17000e+00       4.24939e-04      
 1.18800e+00       4.39866e-04      
 1.20600e+00       4.54824e-04      
 1.22400e+00       4.69809e-04      
 1.24200e+00       4.84815e-04      
 1.26000e+00       4.99836e-04      
 1.27800e+00       5.14868e-04      
 1.29600e+00       5.29906e-04      
 1.31400e+00       5.44945e-04      
 1.33200e+00       5.59981e-04      
 1.35000e+00       5.75008e-04      
 1.36800e+00       5.90024e-04      
 1.38600e+00       6.05023e-04      
 1.40400e+00       6.20003e-04      
 1.42200e+00       6.34957e-04      
 1.44000e+00       6.49884e-04      
 1.45800e+00       6.64779e-04      
 1.47600e+00       6.79639e-04      
 1.49400e+00       6.94459e-04      
 1.51200e+00       7.09237e-04      
 1.53000e+00       7.23968e-04      
 1.54800e+00       7.38650e-04      
 1.56600e+00       7.53280e-04      
 1.58400e+00       7.67853e-04      
 1.60200e+00       7.82368e-04      
 1.62000e+00       7.96820e-04      
 1.63800e+00       8.11207e-04      
 1.65600e+00       8.25526e-04      
 1.67400e+00       8.39774e-04      
 1.69200e+00       8.53949e-04      
 1.71000e+00       8.68046e-04      
 1.72800e+00       8.82065e-04      
 1.74600e+00       8.96001e-04      
 1.76400e+00       9.09854e-04      
 1.78200e+00       9.23619e-04      
 1.80000e+00       9.37296e-04      
