
vdd_value         i("/M0/S" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer_pmos/spectre/schematic" ?result "dc") (A)

 0.00000e+00       0.00000e+00      
 1.80000e-02       3.90906e-06      
 3.60000e-02       7.61403e-06      
 5.40000e-02       1.11164e-05      
 7.20000e-02       1.44177e-05      
 9.00000e-02       1.75194e-05      
 1.08000e-01       2.04232e-05      
 1.26000e-01       2.31307e-05      
 1.44000e-01       2.56435e-05      
 1.62000e-01       2.79635e-05      
 1.80000e-01       3.00927e-05      
 1.98000e-01       3.20334e-05      
 2.16000e-01       3.37882e-05      
 2.34000e-01       3.53604e-05      
 2.52000e-01       3.67541e-05      
 2.70000e-01       3.79746e-05      
 2.88000e-01       3.90289e-05      
 3.06000e-01       3.99266e-05      
 3.24000e-01       4.06801e-05      
 3.42000e-01       4.13050e-05      
 3.60000e-01       4.18198e-05      
 3.78000e-01       4.22443e-05      
 3.96000e-01       4.25976e-05      
 4.14000e-01       4.28968e-05      
 4.32000e-01       4.31556e-05      
 4.50000e-01       4.33844e-05      
 4.68000e-01       4.35907e-05      
 4.86000e-01       4.37800e-05      
 5.04000e-01       4.39560e-05      
 5.22000e-01       4.41213e-05      
 5.40000e-01       4.42779e-05      
 5.58000e-01       4.44271e-05      
 5.76000e-01       4.45701e-05      
 5.94000e-01       4.47075e-05      
 6.12000e-01       4.48400e-05      
 6.30000e-01       4.49680e-05      
 6.48000e-01       4.50920e-05      
 6.66000e-01       4.52123e-05      
 6.84000e-01       4.53292e-05      
 7.02000e-01       4.54429e-05      
 7.20000e-01       4.55537e-05      
 7.38000e-01       4.56616e-05      
 7.56000e-01       4.57669e-05      
 7.74000e-01       4.58696e-05      
 7.92000e-01       4.59701e-05      
 8.10000e-01       4.60682e-05      
 8.28000e-01       4.61643e-05      
 8.46000e-01       4.62583e-05      
 8.64000e-01       4.63504e-05      
 8.82000e-01       4.64406e-05      
 9.00000e-01       4.65290e-05      
 9.18000e-01       4.66158e-05      
 9.36000e-01       4.67009e-05      
 9.54000e-01       4.67844e-05      
 9.72000e-01       4.68665e-05      
 9.90000e-01       4.69471e-05      
 1.00800e+00       4.70263e-05      
 1.02600e+00       4.71042e-05      
 1.04400e+00       4.71808e-05      
 1.06200e+00       4.72562e-05      
 1.08000e+00       4.73304e-05      
 1.09800e+00       4.74034e-05      
 1.11600e+00       4.74754e-05      
 1.13400e+00       4.75462e-05      
 1.15200e+00       4.76160e-05      
 1.17000e+00       4.76849e-05      
 1.18800e+00       4.77527e-05      
 1.20600e+00       4.78197e-05      
 1.22400e+00       4.78857e-05      
 1.24200e+00       4.79508e-05      
 1.26000e+00       4.80151e-05      
 1.27800e+00       4.80786e-05      
 1.29600e+00       4.81413e-05      
 1.31400e+00       4.82032e-05      
 1.33200e+00       4.82643e-05      
 1.35000e+00       4.83248e-05      
 1.36800e+00       4.83845e-05      
 1.38600e+00       4.84436e-05      
 1.40400e+00       4.85020e-05      
 1.42200e+00       4.85597e-05      
 1.44000e+00       4.86168e-05      
 1.45800e+00       4.86733e-05      
 1.47600e+00       4.87292e-05      
 1.49400e+00       4.87846e-05      
 1.51200e+00       4.88394e-05      
 1.53000e+00       4.88936e-05      
 1.54800e+00       4.89473e-05      
 1.56600e+00       4.90005e-05      
 1.58400e+00       4.90532e-05      
 1.60200e+00       4.91055e-05      
 1.62000e+00       4.91572e-05      
 1.63800e+00       4.92085e-05      
 1.65600e+00       4.92593e-05      
 1.67400e+00       4.93097e-05      
 1.69200e+00       4.93596e-05      
 1.71000e+00       4.94092e-05      
 1.72800e+00       4.94583e-05      
 1.74600e+00       4.95071e-05      
 1.76400e+00       4.95555e-05      
 1.78200e+00       4.96035e-05      
 1.80000e+00       4.96511e-05      
