
vdd_value         i("/M0/D" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer/spectre/schematic" ?result "dc") (A)

 0.00000e+00       0.00000e+00      
 1.80000e-02       5.00526e-06      
 3.60000e-02       9.16747e-06      
 5.40000e-02       1.25153e-05      
 7.20000e-02       1.50916e-05      
 9.00000e-02       1.69655e-05      
 1.08000e-01       1.82442e-05      
 1.26000e-01       1.90712e-05      
 1.44000e-01       1.95970e-05      
 1.62000e-01       1.99422e-05      
 1.80000e-01       2.01843e-05      
 1.98000e-01       2.03673e-05      
 2.16000e-01       2.05151e-05      
 2.34000e-01       2.06408e-05      
 2.52000e-01       2.07519e-05      
 2.70000e-01       2.08528e-05      
 2.88000e-01       2.09464e-05      
 3.06000e-01       2.10344e-05      
 3.24000e-01       2.11182e-05      
 3.42000e-01       2.11986e-05      
 3.60000e-01       2.12763e-05      
 3.78000e-01       2.13518e-05      
 3.96000e-01       2.14254e-05      
 4.14000e-01       2.14974e-05      
 4.32000e-01       2.15681e-05      
 4.50000e-01       2.16377e-05      
 4.68000e-01       2.17062e-05      
 4.86000e-01       2.17739e-05      
 5.04000e-01       2.18409e-05      
 5.22000e-01       2.19072e-05      
 5.40000e-01       2.19729e-05      
 5.58000e-01       2.20381e-05      
 5.76000e-01       2.21029e-05      
 5.94000e-01       2.21672e-05      
 6.12000e-01       2.22312e-05      
 6.30000e-01       2.22949e-05      
 6.48000e-01       2.23582e-05      
 6.66000e-01       2.24214e-05      
 6.84000e-01       2.24842e-05      
 7.02000e-01       2.25469e-05      
 7.20000e-01       2.26094e-05      
 7.38000e-01       2.26718e-05      
 7.56000e-01       2.27340e-05      
 7.74000e-01       2.27960e-05      
 7.92000e-01       2.28580e-05      
 8.10000e-01       2.29198e-05      
 8.28000e-01       2.29816e-05      
 8.46000e-01       2.30433e-05      
 8.64000e-01       2.31049e-05      
 8.82000e-01       2.31664e-05      
 9.00000e-01       2.32279e-05      
 9.18000e-01       2.32894e-05      
 9.36000e-01       2.33508e-05      
 9.54000e-01       2.34122e-05      
 9.72000e-01       2.34736e-05      
 9.90000e-01       2.35350e-05      
 1.00800e+00       2.35963e-05      
 1.02600e+00       2.36576e-05      
 1.04400e+00       2.37190e-05      
 1.06200e+00       2.37803e-05      
 1.08000e+00       2.38417e-05      
 1.09800e+00       2.39031e-05      
 1.11600e+00       2.39644e-05      
 1.13400e+00       2.40258e-05      
 1.15200e+00       2.40872e-05      
 1.17000e+00       2.41487e-05      
 1.18800e+00       2.42102e-05      
 1.20600e+00       2.42717e-05      
 1.22400e+00       2.43332e-05      
 1.24200e+00       2.43948e-05      
 1.26000e+00       2.44564e-05      
 1.27800e+00       2.45180e-05      
 1.29600e+00       2.45797e-05      
 1.31400e+00       2.46414e-05      
 1.33200e+00       2.47032e-05      
 1.35000e+00       2.47650e-05      
 1.36800e+00       2.48269e-05      
 1.38600e+00       2.48888e-05      
 1.40400e+00       2.49507e-05      
 1.42200e+00       2.50128e-05      
 1.44000e+00       2.50748e-05      
 1.45800e+00       2.51369e-05      
 1.47600e+00       2.51991e-05      
 1.49400e+00       2.52614e-05      
 1.51200e+00       2.53237e-05      
 1.53000e+00       2.53860e-05      
 1.54800e+00       2.54484e-05      
 1.56600e+00       2.55109e-05      
 1.58400e+00       2.55734e-05      
 1.60200e+00       2.56360e-05      
 1.62000e+00       2.56987e-05      
 1.63800e+00       2.57614e-05      
 1.65600e+00       2.58242e-05      
 1.67400e+00       2.58870e-05      
 1.69200e+00       2.59500e-05      
 1.71000e+00       2.60129e-05      
 1.72800e+00       2.60760e-05      
 1.74600e+00       2.61391e-05      
 1.76400e+00       2.62023e-05      
 1.78200e+00       2.62656e-05      
 1.80000e+00       2.63289e-05      
