
vgs_val           i("/M0/D" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer/spectre/schematic" ?result "dc") (A)

 0.00000e+00       1.58971e-12      
 1.80000e-02       2.99641e-12      
 3.60000e-02       5.64713e-12      
 5.40000e-02       1.06398e-11      
 7.20000e-02       2.00378e-11      
 9.00000e-02       3.77139e-11      
 1.08000e-01       7.09219e-11      
 1.26000e-01       1.33214e-10      
 1.44000e-01       2.49820e-10      
 1.62000e-01       4.67481e-10      
 1.80000e-01       8.72231e-10      
 1.98000e-01       1.62107e-09      
 2.16000e-01       2.99723e-09      
 2.34000e-01       5.50411e-09      
 2.52000e-01       1.00196e-08      
 2.70000e-01       1.80387e-08      
 2.88000e-01       3.20372e-08      
 3.06000e-01       5.59855e-08      
 3.24000e-01       9.60433e-08      
 3.42000e-01       1.61471e-07      
 3.60000e-01       2.65845e-07      
 3.78000e-01       4.28718e-07      
 3.96000e-01       6.77907e-07      
 4.14000e-01       1.05242e-06      
 4.32000e-01       1.60559e-06      
 4.50000e-01       2.40737e-06      
 4.68000e-01       3.54409e-06      
 4.86000e-01       5.11436e-06      
 5.04000e-01       7.22058e-06      
 5.22000e-01       9.95776e-06      
 5.40000e-01       1.34029e-05      
 5.58000e-01       1.76078e-05      
 5.76000e-01       2.25970e-05      
 5.94000e-01       2.83701e-05      
 6.12000e-01       3.49071e-05      
 6.30000e-01       4.21742e-05      
 6.48000e-01       5.01291e-05      
 6.66000e-01       5.87245e-05      
 6.84000e-01       6.79116e-05      
 7.02000e-01       7.76406e-05      
 7.20000e-01       8.78622e-05      
 7.38000e-01       9.85275e-05      
 7.56000e-01       1.09588e-04      
 7.74000e-01       1.20997e-04      
 7.92000e-01       1.32707e-04      
 8.10000e-01       1.44673e-04      
 8.28000e-01       1.56853e-04      
 8.46000e-01       1.69207e-04      
 8.64000e-01       1.81699e-04      
 8.82000e-01       1.94298e-04      
 9.00000e-01       2.06976e-04      
 9.18000e-01       2.19710e-04      
 9.36000e-01       2.32479e-04      
 9.54000e-01       2.45268e-04      
 9.72000e-01       2.58063e-04      
 9.90000e-01       2.70851e-04      
 1.00800e+00       2.83623e-04      
 1.02600e+00       2.96371e-04      
 1.04400e+00       3.09087e-04      
 1.06200e+00       3.21766e-04      
 1.08000e+00       3.34401e-04      
 1.09800e+00       3.46987e-04      
 1.11600e+00       3.59521e-04      
 1.13400e+00       3.71997e-04      
 1.15200e+00       3.84413e-04      
 1.17000e+00       3.96765e-04      
 1.18800e+00       4.09050e-04      
 1.20600e+00       4.21265e-04      
 1.22400e+00       4.33406e-04      
 1.24200e+00       4.45472e-04      
 1.26000e+00       4.57460e-04      
 1.27800e+00       4.69368e-04      
 1.29600e+00       4.81194e-04      
 1.31400e+00       4.92935e-04      
 1.33200e+00       5.04590e-04      
 1.35000e+00       5.16156e-04      
 1.36800e+00       5.27633e-04      
 1.38600e+00       5.39018e-04      
 1.40400e+00       5.50310e-04      
 1.42200e+00       5.61507e-04      
 1.44000e+00       5.72608e-04      
 1.45800e+00       5.83611e-04      
 1.47600e+00       5.94516e-04      
 1.49400e+00       6.05321e-04      
 1.51200e+00       6.16025e-04      
 1.53000e+00       6.26626e-04      
 1.54800e+00       6.37125e-04      
 1.56600e+00       6.47519e-04      
 1.58400e+00       6.57809e-04      
 1.60200e+00       6.67993e-04      
 1.62000e+00       6.78070e-04      
 1.63800e+00       6.88040e-04      
 1.65600e+00       6.97902e-04      
 1.67400e+00       7.07655e-04      
 1.69200e+00       7.17300e-04      
 1.71000e+00       7.26834e-04      
 1.72800e+00       7.36259e-04      
 1.74600e+00       7.45573e-04      
 1.76400e+00       7.54777e-04      
 1.78200e+00       7.63869e-04      
 1.80000e+00       7.72850e-04      
