
vdd_value         i("/M0/S" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer_pmos/spectre/schematic" ?result "dc") (A)

 0.00000e+00       0.00000e+00      
 1.80000e-02       4.09952e-06      
 3.60000e-02       7.98454e-06      
 5.40000e-02       1.16557e-05      
 7.20000e-02       1.51138e-05      
 9.00000e-02       1.83594e-05      
 1.08000e-01       2.13933e-05      
 1.26000e-01       2.42165e-05      
 1.44000e-01       2.68299e-05      
 1.62000e-01       2.92347e-05      
 1.80000e-01       3.14322e-05      
 1.98000e-01       3.34241e-05      
 2.16000e-01       3.52127e-05      
 2.34000e-01       3.68009e-05      
 2.52000e-01       3.81928e-05      
 2.70000e-01       3.93939e-05      
 2.88000e-01       4.04123e-05      
 3.06000e-01       4.12586e-05      
 3.24000e-01       4.19475e-05      
 3.42000e-01       4.24973e-05      
 3.60000e-01       4.29293e-05      
 3.78000e-01       4.32663e-05      
 3.96000e-01       4.35300e-05      
 4.14000e-01       4.37390e-05      
 4.32000e-01       4.39082e-05      
 4.50000e-01       4.40487e-05      
 4.68000e-01       4.41685e-05      
 4.86000e-01       4.42732e-05      
 5.04000e-01       4.43664e-05      
 5.22000e-01       4.44511e-05      
 5.40000e-01       4.45290e-05      
 5.58000e-01       4.46015e-05      
 5.76000e-01       4.46696e-05      
 5.94000e-01       4.47341e-05      
 6.12000e-01       4.47954e-05      
 6.30000e-01       4.48540e-05      
 6.48000e-01       4.49102e-05      
 6.66000e-01       4.49644e-05      
 6.84000e-01       4.50166e-05      
 7.02000e-01       4.50671e-05      
 7.20000e-01       4.51160e-05      
 7.38000e-01       4.51635e-05      
 7.56000e-01       4.52096e-05      
 7.74000e-01       4.52545e-05      
 7.92000e-01       4.52983e-05      
 8.10000e-01       4.53409e-05      
 8.28000e-01       4.53825e-05      
 8.46000e-01       4.54231e-05      
 8.64000e-01       4.54628e-05      
 8.82000e-01       4.55016e-05      
 9.00000e-01       4.55396e-05      
 9.18000e-01       4.55768e-05      
 9.36000e-01       4.56133e-05      
 9.54000e-01       4.56490e-05      
 9.72000e-01       4.56840e-05      
 9.90000e-01       4.57184e-05      
 1.00800e+00       4.57521e-05      
 1.02600e+00       4.57853e-05      
 1.04400e+00       4.58178e-05      
 1.06200e+00       4.58498e-05      
 1.08000e+00       4.58813e-05      
 1.09800e+00       4.59122e-05      
 1.11600e+00       4.59427e-05      
 1.13400e+00       4.59727e-05      
 1.15200e+00       4.60022e-05      
 1.17000e+00       4.60312e-05      
 1.18800e+00       4.60598e-05      
 1.20600e+00       4.60881e-05      
 1.22400e+00       4.61159e-05      
 1.24200e+00       4.61433e-05      
 1.26000e+00       4.61703e-05      
 1.27800e+00       4.61970e-05      
 1.29600e+00       4.62233e-05      
 1.31400e+00       4.62493e-05      
 1.33200e+00       4.62750e-05      
 1.35000e+00       4.63003e-05      
 1.36800e+00       4.63253e-05      
 1.38600e+00       4.63500e-05      
 1.40400e+00       4.63745e-05      
 1.42200e+00       4.63986e-05      
 1.44000e+00       4.64225e-05      
 1.45800e+00       4.64461e-05      
 1.47600e+00       4.64694e-05      
 1.49400e+00       4.64925e-05      
 1.51200e+00       4.65154e-05      
 1.53000e+00       4.65380e-05      
 1.54800e+00       4.65603e-05      
 1.56600e+00       4.65825e-05      
 1.58400e+00       4.66044e-05      
 1.60200e+00       4.66261e-05      
 1.62000e+00       4.66476e-05      
 1.63800e+00       4.66689e-05      
 1.65600e+00       4.66900e-05      
 1.67400e+00       4.67109e-05      
 1.69200e+00       4.67317e-05      
 1.71000e+00       4.67522e-05      
 1.72800e+00       4.67726e-05      
 1.74600e+00       4.67928e-05      
 1.76400e+00       4.68128e-05      
 1.78200e+00       4.68327e-05      
 1.80000e+00       4.68524e-05      
