
vdd_value         i("/M0/D" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer/spectre/schematic" ?result "dc") (A)

 0.00000e+00       0.00000e+00      
 1.80000e-02       2.56244e-05      
 3.60000e-02       4.99700e-05      
 5.40000e-02       7.30559e-05      
 7.20000e-02       9.49010e-05      
 9.00000e-02       1.15524e-04      
 1.08000e-01       1.34942e-04      
 1.26000e-01       1.53175e-04      
 1.44000e-01       1.70240e-04      
 1.62000e-01       1.86156e-04      
 1.80000e-01       2.00940e-04      
 1.98000e-01       2.14611e-04      
 2.16000e-01       2.27188e-04      
 2.34000e-01       2.38691e-04      
 2.52000e-01       2.49142e-04      
 2.70000e-01       2.58564e-04      
 2.88000e-01       2.66984e-04      
 3.06000e-01       2.74435e-04      
 3.24000e-01       2.80955e-04      
 3.42000e-01       2.86593e-04      
 3.60000e-01       2.91409e-04      
 3.78000e-01       2.95478e-04      
 3.96000e-01       2.98885e-04      
 4.14000e-01       3.01726e-04      
 4.32000e-01       3.04097e-04      
 4.50000e-01       3.06086e-04      
 4.68000e-01       3.07774e-04      
 4.86000e-01       3.09224e-04      
 5.04000e-01       3.10487e-04      
 5.22000e-01       3.11603e-04      
 5.40000e-01       3.12600e-04      
 5.58000e-01       3.13502e-04      
 5.76000e-01       3.14325e-04      
 5.94000e-01       3.15084e-04      
 6.12000e-01       3.15789e-04      
 6.30000e-01       3.16449e-04      
 6.48000e-01       3.17068e-04      
 6.66000e-01       3.17655e-04      
 6.84000e-01       3.18212e-04      
 7.02000e-01       3.18743e-04      
 7.20000e-01       3.19251e-04      
 7.38000e-01       3.19740e-04      
 7.56000e-01       3.20211e-04      
 7.74000e-01       3.20666e-04      
 7.92000e-01       3.21107e-04      
 8.10000e-01       3.21534e-04      
 8.28000e-01       3.21951e-04      
 8.46000e-01       3.22356e-04      
 8.64000e-01       3.22752e-04      
 8.82000e-01       3.23139e-04      
 9.00000e-01       3.23518e-04      
 9.18000e-01       3.23890e-04      
 9.36000e-01       3.24255e-04      
 9.54000e-01       3.24614e-04      
 9.72000e-01       3.24967e-04      
 9.90000e-01       3.25314e-04      
 1.00800e+00       3.25657e-04      
 1.02600e+00       3.25995e-04      
 1.04400e+00       3.26328e-04      
 1.06200e+00       3.26658e-04      
 1.08000e+00       3.26983e-04      
 1.09800e+00       3.27306e-04      
 1.11600e+00       3.27625e-04      
 1.13400e+00       3.27941e-04      
 1.15200e+00       3.28253e-04      
 1.17000e+00       3.28564e-04      
 1.18800e+00       3.28871e-04      
 1.20600e+00       3.29177e-04      
 1.22400e+00       3.29480e-04      
 1.24200e+00       3.29780e-04      
 1.26000e+00       3.30079e-04      
 1.27800e+00       3.30376e-04      
 1.29600e+00       3.30671e-04      
 1.31400e+00       3.30964e-04      
 1.33200e+00       3.31256e-04      
 1.35000e+00       3.31546e-04      
 1.36800e+00       3.31835e-04      
 1.38600e+00       3.32122e-04      
 1.40400e+00       3.32408e-04      
 1.42200e+00       3.32693e-04      
 1.44000e+00       3.32976e-04      
 1.45800e+00       3.33258e-04      
 1.47600e+00       3.33539e-04      
 1.49400e+00       3.33819e-04      
 1.51200e+00       3.34099e-04      
 1.53000e+00       3.34377e-04      
 1.54800e+00       3.34654e-04      
 1.56600e+00       3.34930e-04      
 1.58400e+00       3.35206e-04      
 1.60200e+00       3.35481e-04      
 1.62000e+00       3.35755e-04      
 1.63800e+00       3.36028e-04      
 1.65600e+00       3.36300e-04      
 1.67400e+00       3.36572e-04      
 1.69200e+00       3.36844e-04      
 1.71000e+00       3.37114e-04      
 1.72800e+00       3.37384e-04      
 1.74600e+00       3.37654e-04      
 1.76400e+00       3.37923e-04      
 1.78200e+00       3.38191e-04      
 1.80000e+00       3.38459e-04      
