
vdd_value         i("/M0/D" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer/spectre/schematic" ?result "dc") (A)

 0.00000e+00       0.00000e+00      
 1.80000e-02       6.80927e-06      
 3.60000e-02       1.26708e-05      
 5.40000e-02       1.76020e-05      
 7.20000e-02       2.16282e-05      
 9.00000e-02       2.47898e-05      
 1.08000e-01       2.71522e-05      
 1.26000e-01       2.88184e-05      
 1.44000e-01       2.99300e-05      
 1.62000e-01       3.06466e-05      
 1.80000e-01       3.11099e-05      
 1.98000e-01       3.14212e-05      
 2.16000e-01       3.16435e-05      
 2.34000e-01       3.18128e-05      
 2.52000e-01       3.19497e-05      
 2.70000e-01       3.20658e-05      
 2.88000e-01       3.21682e-05      
 3.06000e-01       3.22610e-05      
 3.24000e-01       3.23470e-05      
 3.42000e-01       3.24280e-05      
 3.60000e-01       3.25053e-05      
 3.78000e-01       3.25797e-05      
 3.96000e-01       3.26518e-05      
 4.14000e-01       3.27220e-05      
 4.32000e-01       3.27908e-05      
 4.50000e-01       3.28584e-05      
 4.68000e-01       3.29250e-05      
 4.86000e-01       3.29907e-05      
 5.04000e-01       3.30557e-05      
 5.22000e-01       3.31202e-05      
 5.40000e-01       3.31841e-05      
 5.58000e-01       3.32475e-05      
 5.76000e-01       3.33106e-05      
 5.94000e-01       3.33733e-05      
 6.12000e-01       3.34357e-05      
 6.30000e-01       3.34979e-05      
 6.48000e-01       3.35599e-05      
 6.66000e-01       3.36216e-05      
 6.84000e-01       3.36832e-05      
 7.02000e-01       3.37447e-05      
 7.20000e-01       3.38060e-05      
 7.38000e-01       3.38672e-05      
 7.56000e-01       3.39283e-05      
 7.74000e-01       3.39893e-05      
 7.92000e-01       3.40502e-05      
 8.10000e-01       3.41111e-05      
 8.28000e-01       3.41719e-05      
 8.46000e-01       3.42326e-05      
 8.64000e-01       3.42933e-05      
 8.82000e-01       3.43540e-05      
 9.00000e-01       3.44146e-05      
 9.18000e-01       3.44752e-05      
 9.36000e-01       3.45358e-05      
 9.54000e-01       3.45964e-05      
 9.72000e-01       3.46570e-05      
 9.90000e-01       3.47175e-05      
 1.00800e+00       3.47781e-05      
 1.02600e+00       3.48387e-05      
 1.04400e+00       3.48992e-05      
 1.06200e+00       3.49598e-05      
 1.08000e+00       3.50204e-05      
 1.09800e+00       3.50810e-05      
 1.11600e+00       3.51416e-05      
 1.13400e+00       3.52022e-05      
 1.15200e+00       3.52629e-05      
 1.17000e+00       3.53235e-05      
 1.18800e+00       3.53842e-05      
 1.20600e+00       3.54449e-05      
 1.22400e+00       3.55056e-05      
 1.24200e+00       3.55664e-05      
 1.26000e+00       3.56272e-05      
 1.27800e+00       3.56880e-05      
 1.29600e+00       3.57488e-05      
 1.31400e+00       3.58097e-05      
 1.33200e+00       3.58706e-05      
 1.35000e+00       3.59315e-05      
 1.36800e+00       3.59925e-05      
 1.38600e+00       3.60535e-05      
 1.40400e+00       3.61146e-05      
 1.42200e+00       3.61756e-05      
 1.44000e+00       3.62368e-05      
 1.45800e+00       3.62979e-05      
 1.47600e+00       3.63591e-05      
 1.49400e+00       3.64203e-05      
 1.51200e+00       3.64816e-05      
 1.53000e+00       3.65429e-05      
 1.54800e+00       3.66043e-05      
 1.56600e+00       3.66656e-05      
 1.58400e+00       3.67271e-05      
 1.60200e+00       3.67886e-05      
 1.62000e+00       3.68501e-05      
 1.63800e+00       3.69116e-05      
 1.65600e+00       3.69732e-05      
 1.67400e+00       3.70349e-05      
 1.69200e+00       3.70966e-05      
 1.71000e+00       3.71583e-05      
 1.72800e+00       3.72201e-05      
 1.74600e+00       3.72819e-05      
 1.76400e+00       3.73438e-05      
 1.78200e+00       3.74057e-05      
 1.80000e+00       3.74677e-05      
