
vdd_value         i("/M0/S" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer_pmos/spectre/schematic" ?result "dc") (A)

 0.00000e+00       0.00000e+00      
 1.80000e-02       3.94518e-07      
 3.60000e-02       6.70590e-07      
 5.40000e-02       8.42821e-07      
 7.20000e-02       9.36841e-07      
 9.00000e-02       9.83486e-07      
 1.08000e-01       1.00650e-06      
 1.26000e-01       1.01868e-06      
 1.44000e-01       1.02580e-06      
 1.62000e-01       1.03039e-06      
 1.80000e-01       1.03361e-06      
 1.98000e-01       1.03605e-06      
 2.16000e-01       1.03799e-06      
 2.34000e-01       1.03962e-06      
 2.52000e-01       1.04102e-06      
 2.70000e-01       1.04228e-06      
 2.88000e-01       1.04341e-06      
 3.06000e-01       1.04446e-06      
 3.24000e-01       1.04544e-06      
 3.42000e-01       1.04636e-06      
 3.60000e-01       1.04724e-06      
 3.78000e-01       1.04809e-06      
 3.96000e-01       1.04890e-06      
 4.14000e-01       1.04968e-06      
 4.32000e-01       1.05044e-06      
 4.50000e-01       1.05118e-06      
 4.68000e-01       1.05190e-06      
 4.86000e-01       1.05260e-06      
 5.04000e-01       1.05329e-06      
 5.22000e-01       1.05397e-06      
 5.40000e-01       1.05463e-06      
 5.58000e-01       1.05528e-06      
 5.76000e-01       1.05592e-06      
 5.94000e-01       1.05656e-06      
 6.12000e-01       1.05718e-06      
 6.30000e-01       1.05780e-06      
 6.48000e-01       1.05840e-06      
 6.66000e-01       1.05900e-06      
 6.84000e-01       1.05960e-06      
 7.02000e-01       1.06019e-06      
 7.20000e-01       1.06077e-06      
 7.38000e-01       1.06134e-06      
 7.56000e-01       1.06191e-06      
 7.74000e-01       1.06248e-06      
 7.92000e-01       1.06304e-06      
 8.10000e-01       1.06360e-06      
 8.28000e-01       1.06415e-06      
 8.46000e-01       1.06470e-06      
 8.64000e-01       1.06524e-06      
 8.82000e-01       1.06578e-06      
 9.00000e-01       1.06632e-06      
 9.18000e-01       1.06685e-06      
 9.36000e-01       1.06738e-06      
 9.54000e-01       1.06791e-06      
 9.72000e-01       1.06843e-06      
 9.90000e-01       1.06896e-06      
 1.00800e+00       1.06947e-06      
 1.02600e+00       1.06999e-06      
 1.04400e+00       1.07050e-06      
 1.06200e+00       1.07101e-06      
 1.08000e+00       1.07152e-06      
 1.09800e+00       1.07203e-06      
 1.11600e+00       1.07253e-06      
 1.13400e+00       1.07304e-06      
 1.15200e+00       1.07354e-06      
 1.17000e+00       1.07403e-06      
 1.18800e+00       1.07453e-06      
 1.20600e+00       1.07503e-06      
 1.22400e+00       1.07552e-06      
 1.24200e+00       1.07601e-06      
 1.26000e+00       1.07650e-06      
 1.27800e+00       1.07699e-06      
 1.29600e+00       1.07747e-06      
 1.31400e+00       1.07796e-06      
 1.33200e+00       1.07844e-06      
 1.35000e+00       1.07893e-06      
 1.36800e+00       1.07941e-06      
 1.38600e+00       1.07989e-06      
 1.40400e+00       1.08037e-06      
 1.42200e+00       1.08084e-06      
 1.44000e+00       1.08132e-06      
 1.45800e+00       1.08179e-06      
 1.47600e+00       1.08227e-06      
 1.49400e+00       1.08274e-06      
 1.51200e+00       1.08321e-06      
 1.53000e+00       1.08368e-06      
 1.54800e+00       1.08415e-06      
 1.56600e+00       1.08462e-06      
 1.58400e+00       1.08509e-06      
 1.60200e+00       1.08556e-06      
 1.62000e+00       1.08602e-06      
 1.63800e+00       1.08649e-06      
 1.65600e+00       1.08695e-06      
 1.67400e+00       1.08742e-06      
 1.69200e+00       1.08788e-06      
 1.71000e+00       1.08834e-06      
 1.72800e+00       1.08880e-06      
 1.74600e+00       1.08927e-06      
 1.76400e+00       1.08973e-06      
 1.78200e+00       1.09019e-06      
 1.80000e+00       1.09065e-06      
