
vgs_val           i("/M0/S" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer_pmos/spectre/schematic" ?result "dc") (A)

 0.00000e+00       1.61134e-12      
 1.80000e-02       2.70394e-12      
 3.60000e-02       4.53642e-12      
 5.40000e-02       7.60871e-12      
 7.20000e-02       1.27572e-11      
 9.00000e-02       2.13798e-11      
 1.08000e-01       3.58093e-11      
 1.26000e-01       5.99324e-11      
 1.44000e-01       1.00209e-10      
 1.62000e-01       1.67347e-10      
 1.80000e-01       2.79025e-10      
 1.98000e-01       4.64304e-10      
 2.16000e-01       7.70672e-10      
 2.34000e-01       1.27518e-09      
 2.52000e-01       2.10178e-09      
 2.70000e-01       3.44780e-09      
 2.88000e-01       5.62370e-09      
 3.06000e-01       9.11150e-09      
 3.24000e-01       1.46492e-08      
 3.42000e-01       2.33510e-08      
 3.60000e-01       3.68781e-08      
 3.78000e-01       5.76784e-08      
 3.96000e-01       8.93211e-08      
 4.14000e-01       1.36941e-07      
 4.32000e-01       2.07782e-07      
 4.50000e-01       3.11751e-07      
 4.68000e-01       4.61813e-07      
 4.86000e-01       6.73993e-07      
 5.04000e-01       9.66782e-07      
 5.22000e-01       1.35990e-06      
 5.40000e-01       1.87267e-06      
 5.58000e-01       2.52223e-06      
 5.76000e-01       3.32226e-06      
 5.94000e-01       4.28216e-06      
 6.12000e-01       5.40702e-06      
 6.30000e-01       6.69801e-06      
 6.48000e-01       8.15316e-06      
 6.66000e-01       9.76810e-06      
 6.84000e-01       1.15368e-05      
 7.02000e-01       1.34520e-05      
 7.20000e-01       1.55053e-05      
 7.38000e-01       1.76874e-05      
 7.56000e-01       1.99879e-05      
 7.74000e-01       2.23946e-05      
 7.92000e-01       2.48940e-05      
 8.10000e-01       2.74710e-05      
 8.28000e-01       3.01099e-05      
 8.46000e-01       3.27952e-05      
 8.64000e-01       3.55123e-05      
 8.82000e-01       3.82489e-05      
 9.00000e-01       4.09948e-05      
 9.18000e-01       4.37420e-05      
 9.36000e-01       4.64844e-05      
 9.54000e-01       4.92175e-05      
 9.72000e-01       5.19380e-05      
 9.90000e-01       5.46432e-05      
 1.00800e+00       5.73314e-05      
 1.02600e+00       6.00012e-05      
 1.04400e+00       6.26516e-05      
 1.06200e+00       6.52819e-05      
 1.08000e+00       6.78916e-05      
 1.09800e+00       7.04802e-05      
 1.11600e+00       7.30475e-05      
 1.13400e+00       7.55933e-05      
 1.15200e+00       7.81175e-05      
 1.17000e+00       8.06202e-05      
 1.18800e+00       8.31011e-05      
 1.20600e+00       8.55606e-05      
 1.22400e+00       8.79984e-05      
 1.24200e+00       9.04149e-05      
 1.26000e+00       9.28101e-05      
 1.27800e+00       9.51841e-05      
 1.29600e+00       9.75371e-05      
 1.31400e+00       9.98693e-05      
 1.33200e+00       1.02181e-04      
 1.35000e+00       1.04472e-04      
 1.36800e+00       1.06742e-04      
 1.38600e+00       1.08993e-04      
 1.40400e+00       1.11223e-04      
 1.42200e+00       1.13434e-04      
 1.44000e+00       1.15625e-04      
 1.45800e+00       1.17797e-04      
 1.47600e+00       1.19950e-04      
 1.49400e+00       1.22083e-04      
 1.51200e+00       1.24198e-04      
 1.53000e+00       1.26295e-04      
 1.54800e+00       1.28373e-04      
 1.56600e+00       1.30433e-04      
 1.58400e+00       1.32475e-04      
 1.60200e+00       1.34499e-04      
 1.62000e+00       1.36506e-04      
 1.63800e+00       1.38495e-04      
 1.65600e+00       1.40468e-04      
 1.67400e+00       1.42423e-04      
 1.69200e+00       1.44362e-04      
 1.71000e+00       1.46284e-04      
 1.72800e+00       1.48189e-04      
 1.74600e+00       1.50079e-04      
 1.76400e+00       1.51952e-04      
 1.78200e+00       1.53810e-04      
 1.80000e+00       1.55652e-04      
