
vgs_val           i("/M0/S" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer_pmos/spectre/schematic" ?result "dc") (A)

 0.00000e+00       3.32508e-12      
 1.80000e-02       5.26780e-12      
 3.60000e-02       8.34200e-12      
 5.40000e-02       1.32032e-11      
 7.20000e-02       2.08831e-11      
 9.00000e-02       3.30026e-11      
 1.08000e-01       5.21015e-11      
 1.26000e-01       8.21468e-11      
 1.44000e-01       1.29312e-10      
 1.62000e-01       2.03156e-10      
 1.80000e-01       3.18404e-10      
 1.98000e-01       4.97577e-10      
 2.16000e-01       7.74846e-10      
 2.34000e-01       1.20158e-09      
 2.52000e-01       1.85422e-09      
 2.70000e-01       2.84513e-09      
 2.88000e-01       4.33761e-09      
 3.06000e-01       6.56598e-09      
 3.24000e-01       9.86257e-09      
 3.42000e-01       1.46937e-08      
 3.60000e-01       2.17068e-08      
 3.78000e-01       3.17915e-08      
 3.96000e-01       4.61524e-08      
 4.14000e-01       6.63891e-08      
 4.32000e-01       9.45650e-08      
 4.50000e-01       1.33241e-07      
 4.68000e-01       1.85443e-07      
 4.86000e-01       2.54538e-07      
 5.04000e-01       3.44017e-07      
 5.22000e-01       4.57219e-07      
 5.40000e-01       5.97032e-07      
 5.58000e-01       7.65640e-07      
 5.76000e-01       9.64372e-07      
 5.94000e-01       1.19365e-06      
 6.12000e-01       1.45305e-06      
 6.30000e-01       1.74144e-06      
 6.48000e-01       2.05712e-06      
 6.66000e-01       2.39803e-06      
 6.84000e-01       2.76182e-06      
 7.02000e-01       3.14604e-06      
 7.20000e-01       3.54815e-06      
 7.38000e-01       3.96562e-06      
 7.56000e-01       4.39593e-06      
 7.74000e-01       4.83668e-06      
 7.92000e-01       5.28564e-06      
 8.10000e-01       5.74078e-06      
 8.28000e-01       6.20037e-06      
 8.46000e-01       6.66294e-06      
 8.64000e-01       7.12731e-06      
 8.82000e-01       7.59256e-06      
 9.00000e-01       8.05797e-06      
 9.18000e-01       8.52296e-06      
 9.36000e-01       8.98711e-06      
 9.54000e-01       9.45010e-06      
 9.72000e-01       9.91168e-06      
 9.90000e-01       1.03716e-05      
 1.00800e+00       1.08298e-05      
 1.02600e+00       1.12862e-05      
 1.04400e+00       1.17405e-05      
 1.06200e+00       1.21928e-05      
 1.08000e+00       1.26431e-05      
 1.09800e+00       1.30912e-05      
 1.11600e+00       1.35371e-05      
 1.13400e+00       1.39808e-05      
 1.15200e+00       1.44223e-05      
 1.17000e+00       1.48615e-05      
 1.18800e+00       1.52985e-05      
 1.20600e+00       1.57333e-05      
 1.22400e+00       1.61658e-05      
 1.24200e+00       1.65961e-05      
 1.26000e+00       1.70241e-05      
 1.27800e+00       1.74498e-05      
 1.29600e+00       1.78733e-05      
 1.31400e+00       1.82946e-05      
 1.33200e+00       1.87136e-05      
 1.35000e+00       1.91304e-05      
 1.36800e+00       1.95450e-05      
 1.38600e+00       1.99574e-05      
 1.40400e+00       2.03675e-05      
 1.42200e+00       2.07755e-05      
 1.44000e+00       2.11813e-05      
 1.45800e+00       2.15850e-05      
 1.47600e+00       2.19865e-05      
 1.49400e+00       2.23858e-05      
 1.51200e+00       2.27831e-05      
 1.53000e+00       2.31782e-05      
 1.54800e+00       2.35712e-05      
 1.56600e+00       2.39621e-05      
 1.58400e+00       2.43509e-05      
 1.60200e+00       2.47377e-05      
 1.62000e+00       2.51225e-05      
 1.63800e+00       2.55052e-05      
 1.65600e+00       2.58859e-05      
 1.67400e+00       2.62645e-05      
 1.69200e+00       2.66412e-05      
 1.71000e+00       2.70159e-05      
 1.72800e+00       2.73887e-05      
 1.74600e+00       2.77595e-05      
 1.76400e+00       2.81283e-05      
 1.78200e+00       2.84953e-05      
 1.80000e+00       2.88603e-05      
