
vdd_value         i("/M0/D" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer/spectre/schematic" ?result "dc") (A)

 0.00000e+00       0.00000e+00      
 1.80000e-02       5.20044e-07      
 3.60000e-02       9.56290e-07      
 5.40000e-02       1.31518e-06      
 7.20000e-02       1.60357e-06      
 9.00000e-02       1.82946e-06      
 1.08000e-01       2.00279e-06      
 1.26000e-01       2.13545e-06      
 1.44000e-01       2.23964e-06      
 1.62000e-01       2.32545e-06      
 1.80000e-01       2.39973e-06      
 1.98000e-01       2.46660e-06      
 2.16000e-01       2.52845e-06      
 2.34000e-01       2.58669e-06      
 2.52000e-01       2.64221e-06      
 2.70000e-01       2.69559e-06      
 2.88000e-01       2.74723e-06      
 3.06000e-01       2.79744e-06      
 3.24000e-01       2.84646e-06      
 3.42000e-01       2.89446e-06      
 3.60000e-01       2.94159e-06      
 3.78000e-01       2.98799e-06      
 3.96000e-01       3.03374e-06      
 4.14000e-01       3.07895e-06      
 4.32000e-01       3.12369e-06      
 4.50000e-01       3.16802e-06      
 4.68000e-01       3.21200e-06      
 4.86000e-01       3.25569e-06      
 5.04000e-01       3.29913e-06      
 5.22000e-01       3.34236e-06      
 5.40000e-01       3.38541e-06      
 5.58000e-01       3.42832e-06      
 5.76000e-01       3.47112e-06      
 5.94000e-01       3.51383e-06      
 6.12000e-01       3.55648e-06      
 6.30000e-01       3.59909e-06      
 6.48000e-01       3.64168e-06      
 6.66000e-01       3.68426e-06      
 6.84000e-01       3.72685e-06      
 7.02000e-01       3.76947e-06      
 7.20000e-01       3.81214e-06      
 7.38000e-01       3.85485e-06      
 7.56000e-01       3.89763e-06      
 7.74000e-01       3.94049e-06      
 7.92000e-01       3.98343e-06      
 8.10000e-01       4.02647e-06      
 8.28000e-01       4.06962e-06      
 8.46000e-01       4.11287e-06      
 8.64000e-01       4.15624e-06      
 8.82000e-01       4.19974e-06      
 9.00000e-01       4.24338e-06      
 9.18000e-01       4.28715e-06      
 9.36000e-01       4.33106e-06      
 9.54000e-01       4.37513e-06      
 9.72000e-01       4.41934e-06      
 9.90000e-01       4.46372e-06      
 1.00800e+00       4.50826e-06      
 1.02600e+00       4.55297e-06      
 1.04400e+00       4.59785e-06      
 1.06200e+00       4.64290e-06      
 1.08000e+00       4.68813e-06      
 1.09800e+00       4.73354e-06      
 1.11600e+00       4.77913e-06      
 1.13400e+00       4.82492e-06      
 1.15200e+00       4.87089e-06      
 1.17000e+00       4.91705e-06      
 1.18800e+00       4.96341e-06      
 1.20600e+00       5.00996e-06      
 1.22400e+00       5.05671e-06      
 1.24200e+00       5.10366e-06      
 1.26000e+00       5.15082e-06      
 1.27800e+00       5.19818e-06      
 1.29600e+00       5.24574e-06      
 1.31400e+00       5.29351e-06      
 1.33200e+00       5.34149e-06      
 1.35000e+00       5.38968e-06      
 1.36800e+00       5.43808e-06      
 1.38600e+00       5.48669e-06      
 1.40400e+00       5.53552e-06      
 1.42200e+00       5.58456e-06      
 1.44000e+00       5.63381e-06      
 1.45800e+00       5.68328e-06      
 1.47600e+00       5.73297e-06      
 1.49400e+00       5.78288e-06      
 1.51200e+00       5.83301e-06      
 1.53000e+00       5.88335e-06      
 1.54800e+00       5.93392e-06      
 1.56600e+00       5.98471e-06      
 1.58400e+00       6.03572e-06      
 1.60200e+00       6.08695e-06      
 1.62000e+00       6.13840e-06      
 1.63800e+00       6.19008e-06      
 1.65600e+00       6.24198e-06      
 1.67400e+00       6.29410e-06      
 1.69200e+00       6.34645e-06      
 1.71000e+00       6.39902e-06      
 1.72800e+00       6.45182e-06      
 1.74600e+00       6.50485e-06      
 1.76400e+00       6.55810e-06      
 1.78200e+00       6.61157e-06      
 1.80000e+00       6.66527e-06      
