
vgs_val           i("/M0/D" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer/spectre/schematic" ?result "dc") (A)

 0.00000e+00       2.00363e-13      
 1.80000e-02       3.76893e-13      
 3.60000e-02       7.08947e-13      
 5.40000e-02       1.33328e-12      
 7.20000e-02       2.50652e-12      
 9.00000e-02       4.70951e-12      
 1.08000e-01       8.84176e-12      
 1.26000e-01       1.65816e-11      
 1.44000e-01       3.10505e-11      
 1.62000e-01       5.80272e-11      
 1.80000e-01       1.08146e-10      
 1.98000e-01       2.00816e-10      
 2.16000e-01       3.71085e-10      
 2.34000e-01       6.81360e-10      
 2.52000e-01       1.24076e-09      
 2.70000e-01       2.23586e-09      
 2.88000e-01       3.97702e-09      
 3.06000e-01       6.96468e-09      
 3.24000e-01       1.19791e-08      
 3.42000e-01       2.01976e-08      
 3.60000e-01       3.33492e-08      
 3.78000e-01       5.39237e-08      
 3.96000e-01       8.54646e-08      
 4.14000e-01       1.32963e-07      
 4.32000e-01       2.03327e-07      
 4.50000e-01       3.05816e-07      
 4.68000e-01       4.52232e-07      
 4.86000e-01       6.56635e-07      
 5.04000e-01       9.34395e-07      
 5.22000e-01       1.30070e-06      
 5.40000e-01       1.76884e-06      
 5.58000e-01       2.34880e-06      
 5.76000e-01       3.04653e-06      
 5.94000e-01       3.86395e-06      
 6.12000e-01       4.79950e-06      
 6.30000e-01       5.84905e-06      
 6.48000e-01       7.00667e-06      
 6.66000e-01       8.26540e-06      
 6.84000e-01       9.61771e-06      
 7.02000e-01       1.10558e-05      
 7.20000e-01       1.25719e-05      
 7.38000e-01       1.41580e-05      
 7.56000e-01       1.58063e-05      
 7.74000e-01       1.75092e-05      
 7.92000e-01       1.92589e-05      
 8.10000e-01       2.10481e-05      
 8.28000e-01       2.28698e-05      
 8.46000e-01       2.47176e-05      
 8.64000e-01       2.65856e-05      
 8.82000e-01       2.84689e-05      
 9.00000e-01       3.03630e-05      
 9.18000e-01       3.22644e-05      
 9.36000e-01       3.41700e-05      
 9.54000e-01       3.60772e-05      
 9.72000e-01       3.79840e-05      
 9.90000e-01       3.98887e-05      
 1.00800e+00       4.17897e-05      
 1.02600e+00       4.36857e-05      
 1.04400e+00       4.55758e-05      
 1.06200e+00       4.74590e-05      
 1.08000e+00       4.93343e-05      
 1.09800e+00       5.12012e-05      
 1.11600e+00       5.30588e-05      
 1.13400e+00       5.49067e-05      
 1.15200e+00       5.67442e-05      
 1.17000e+00       5.85709e-05      
 1.18800e+00       6.03862e-05      
 1.20600e+00       6.21898e-05      
 1.22400e+00       6.39812e-05      
 1.24200e+00       6.57600e-05      
 1.26000e+00       6.75259e-05      
 1.27800e+00       6.92786e-05      
 1.29600e+00       7.10177e-05      
 1.31400e+00       7.27429e-05      
 1.33200e+00       7.44540e-05      
 1.35000e+00       7.61506e-05      
 1.36800e+00       7.78326e-05      
 1.38600e+00       7.94997e-05      
 1.40400e+00       8.11517e-05      
 1.42200e+00       8.27883e-05      
 1.44000e+00       8.44094e-05      
 1.45800e+00       8.60148e-05      
 1.47600e+00       8.76043e-05      
 1.49400e+00       8.91778e-05      
 1.51200e+00       9.07351e-05      
 1.53000e+00       9.22760e-05      
 1.54800e+00       9.38005e-05      
 1.56600e+00       9.53085e-05      
 1.58400e+00       9.67997e-05      
 1.60200e+00       9.82741e-05      
 1.62000e+00       9.97317e-05      
 1.63800e+00       1.01172e-04      
 1.65600e+00       1.02596e-04      
 1.67400e+00       1.04002e-04      
 1.69200e+00       1.05392e-04      
 1.71000e+00       1.06764e-04      
 1.72800e+00       1.08119e-04      
 1.74600e+00       1.09457e-04      
 1.76400e+00       1.10777e-04      
 1.78200e+00       1.12080e-04      
 1.80000e+00       1.13366e-04      
