
vgs_val           i("/M0/D" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer/spectre/schematic" ?result "dc") (A)

 0.00000e+00       2.38849e-13      
 1.80000e-02       4.50196e-13      
 3.60000e-02       8.48498e-13      
 5.40000e-02       1.59879e-12      
 7.20000e-02       3.01127e-12      
 9.00000e-02       5.66811e-12      
 1.08000e-01       1.06598e-11      
 1.26000e-01       2.00234e-11      
 1.44000e-01       3.75504e-11      
 1.62000e-01       7.02630e-11      
 1.80000e-01       1.31081e-10      
 1.98000e-01       2.43562e-10      
 2.16000e-01       4.50165e-10      
 2.34000e-01       8.26249e-10      
 2.52000e-01       1.50299e-09      
 2.70000e-01       2.70324e-09      
 2.88000e-01       4.79491e-09      
 3.06000e-01       8.36584e-09      
 3.24000e-01       1.43240e-08      
 3.42000e-01       2.40281e-08      
 3.60000e-01       3.94606e-08      
 3.78000e-01       6.34668e-08      
 3.96000e-01       1.00089e-07      
 4.14000e-01       1.55010e-07      
 4.32000e-01       2.36050e-07      
 4.50000e-01       3.53590e-07      
 4.68000e-01       5.20678e-07      
 4.86000e-01       7.52569e-07      
 5.04000e-01       1.06559e-06      
 5.22000e-01       1.47552e-06      
 5.40000e-01       1.99585e-06      
 5.58000e-01       2.63653e-06      
 5.76000e-01       3.40343e-06      
 5.94000e-01       4.29857e-06      
 6.12000e-01       5.32079e-06      
 6.30000e-01       6.46667e-06      
 6.48000e-01       7.73140e-06      
 6.66000e-01       9.10946e-06      
 6.84000e-01       1.05951e-05      
 7.02000e-01       1.21827e-05      
 7.20000e-01       1.38667e-05      
 7.38000e-01       1.56420e-05      
 7.56000e-01       1.75039e-05      
 7.74000e-01       1.94479e-05      
 7.92000e-01       2.14697e-05      
 8.10000e-01       2.35654e-05      
 8.28000e-01       2.57312e-05      
 8.46000e-01       2.79636e-05      
 8.64000e-01       3.02591e-05      
 8.82000e-01       3.26146e-05      
 9.00000e-01       3.50267e-05      
 9.18000e-01       3.74925e-05      
 9.36000e-01       4.00089e-05      
 9.54000e-01       4.25730e-05      
 9.72000e-01       4.51820e-05      
 9.90000e-01       4.78331e-05      
 1.00800e+00       5.05235e-05      
 1.02600e+00       5.32506e-05      
 1.04400e+00       5.60117e-05      
 1.06200e+00       5.88041e-05      
 1.08000e+00       6.16253e-05      
 1.09800e+00       6.44727e-05      
 1.11600e+00       6.73439e-05      
 1.13400e+00       7.02362e-05      
 1.15200e+00       7.31472e-05      
 1.17000e+00       7.60744e-05      
 1.18800e+00       7.90155e-05      
 1.20600e+00       8.19680e-05      
 1.22400e+00       8.49295e-05      
 1.24200e+00       8.78977e-05      
 1.26000e+00       9.08704e-05      
 1.27800e+00       9.38453e-05      
 1.29600e+00       9.68201e-05      
 1.31400e+00       9.97928e-05      
 1.33200e+00       1.02761e-04      
 1.35000e+00       1.05724e-04      
 1.36800e+00       1.08678e-04      
 1.38600e+00       1.11623e-04      
 1.40400e+00       1.14556e-04      
 1.42200e+00       1.17476e-04      
 1.44000e+00       1.20382e-04      
 1.45800e+00       1.23272e-04      
 1.47600e+00       1.26146e-04      
 1.49400e+00       1.29001e-04      
 1.51200e+00       1.31837e-04      
 1.53000e+00       1.34654e-04      
 1.54800e+00       1.37449e-04      
 1.56600e+00       1.40224e-04      
 1.58400e+00       1.42976e-04      
 1.60200e+00       1.45706e-04      
 1.62000e+00       1.48413e-04      
 1.63800e+00       1.51096e-04      
 1.65600e+00       1.53756e-04      
 1.67400e+00       1.56391e-04      
 1.69200e+00       1.59001e-04      
 1.71000e+00       1.61587e-04      
 1.72800e+00       1.64147e-04      
 1.74600e+00       1.66682e-04      
 1.76400e+00       1.69191e-04      
 1.78200e+00       1.71675e-04      
 1.80000e+00       1.74132e-04      
