
vdd_value         i("/M0/D" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer/spectre/schematic" ?result "dc") (A)

 0.00000e+00       0.00000e+00      
 1.80000e-02       6.73621e-07      
 3.60000e-02       1.22593e-06      
 5.40000e-02       1.66158e-06      
 7.20000e-02       1.98793e-06      
 9.00000e-02       2.21708e-06      
 1.08000e-01       2.36737e-06      
 1.26000e-01       2.46148e-06      
 1.44000e-01       2.52058e-06      
 1.62000e-01       2.55972e-06      
 1.80000e-01       2.58777e-06      
 1.98000e-01       2.60950e-06      
 2.16000e-01       2.62744e-06      
 2.34000e-01       2.64298e-06      
 2.52000e-01       2.65690e-06      
 2.70000e-01       2.66970e-06      
 2.88000e-01       2.68168e-06      
 3.06000e-01       2.69302e-06      
 3.24000e-01       2.70389e-06      
 3.42000e-01       2.71436e-06      
 3.60000e-01       2.72452e-06      
 3.78000e-01       2.73443e-06      
 3.96000e-01       2.74412e-06      
 4.14000e-01       2.75362e-06      
 4.32000e-01       2.76298e-06      
 4.50000e-01       2.77219e-06      
 4.68000e-01       2.78130e-06      
 4.86000e-01       2.79030e-06      
 5.04000e-01       2.79922e-06      
 5.22000e-01       2.80806e-06      
 5.40000e-01       2.81683e-06      
 5.58000e-01       2.82555e-06      
 5.76000e-01       2.83421e-06      
 5.94000e-01       2.84282e-06      
 6.12000e-01       2.85140e-06      
 6.30000e-01       2.85993e-06      
 6.48000e-01       2.86844e-06      
 6.66000e-01       2.87691e-06      
 6.84000e-01       2.88536e-06      
 7.02000e-01       2.89379e-06      
 7.20000e-01       2.90219e-06      
 7.38000e-01       2.91058e-06      
 7.56000e-01       2.91895e-06      
 7.74000e-01       2.92731e-06      
 7.92000e-01       2.93566e-06      
 8.10000e-01       2.94400e-06      
 8.28000e-01       2.95232e-06      
 8.46000e-01       2.96064e-06      
 8.64000e-01       2.96896e-06      
 8.82000e-01       2.97727e-06      
 9.00000e-01       2.98557e-06      
 9.18000e-01       2.99387e-06      
 9.36000e-01       3.00217e-06      
 9.54000e-01       3.01047e-06      
 9.72000e-01       3.01877e-06      
 9.90000e-01       3.02706e-06      
 1.00800e+00       3.03536e-06      
 1.02600e+00       3.04366e-06      
 1.04400e+00       3.05196e-06      
 1.06200e+00       3.06027e-06      
 1.08000e+00       3.06857e-06      
 1.09800e+00       3.07688e-06      
 1.11600e+00       3.08520e-06      
 1.13400e+00       3.09352e-06      
 1.15200e+00       3.10184e-06      
 1.17000e+00       3.11017e-06      
 1.18800e+00       3.11850e-06      
 1.20600e+00       3.12684e-06      
 1.22400e+00       3.13518e-06      
 1.24200e+00       3.14354e-06      
 1.26000e+00       3.15189e-06      
 1.27800e+00       3.16026e-06      
 1.29600e+00       3.16863e-06      
 1.31400e+00       3.17701e-06      
 1.33200e+00       3.18540e-06      
 1.35000e+00       3.19379e-06      
 1.36800e+00       3.20219e-06      
 1.38600e+00       3.21060e-06      
 1.40400e+00       3.21902e-06      
 1.42200e+00       3.22745e-06      
 1.44000e+00       3.23588e-06      
 1.45800e+00       3.24433e-06      
 1.47600e+00       3.25278e-06      
 1.49400e+00       3.26124e-06      
 1.51200e+00       3.26971e-06      
 1.53000e+00       3.27820e-06      
 1.54800e+00       3.28669e-06      
 1.56600e+00       3.29518e-06      
 1.58400e+00       3.30369e-06      
 1.60200e+00       3.31221e-06      
 1.62000e+00       3.32074e-06      
 1.63800e+00       3.32928e-06      
 1.65600e+00       3.33783e-06      
 1.67400e+00       3.34639e-06      
 1.69200e+00       3.35496e-06      
 1.71000e+00       3.36354e-06      
 1.72800e+00       3.37213e-06      
 1.74600e+00       3.38073e-06      
 1.76400e+00       3.38934e-06      
 1.78200e+00       3.39796e-06      
 1.80000e+00       3.40659e-06      
