
vdd_value         i("/M0/D" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer/spectre/schematic" ?result "dc") (A)

 0.00000e+00       0.00000e+00      
 1.80000e-02       4.04945e-06      
 3.60000e-02       7.91713e-06      
 5.40000e-02       1.16044e-05      
 7.20000e-02       1.51125e-05      
 9.00000e-02       1.84429e-05      
 1.08000e-01       2.15969e-05      
 1.26000e-01       2.45759e-05      
 1.44000e-01       2.73812e-05      
 1.62000e-01       3.00143e-05      
 1.80000e-01       3.24766e-05      
 1.98000e-01       3.47695e-05      
 2.16000e-01       3.68948e-05      
 2.34000e-01       3.88542e-05      
 2.52000e-01       4.06494e-05      
 2.70000e-01       4.22828e-05      
 2.88000e-01       4.37569e-05      
 3.06000e-01       4.50747e-05      
 3.24000e-01       4.62402e-05      
 3.42000e-01       4.72583e-05      
 3.60000e-01       4.81355e-05      
 3.78000e-01       4.88802e-05      
 3.96000e-01       4.95029e-05      
 4.14000e-01       5.00164e-05      
 4.32000e-01       5.04354e-05      
 4.50000e-01       5.07755e-05      
 4.68000e-01       5.10517e-05      
 4.86000e-01       5.12776e-05      
 5.04000e-01       5.14648e-05      
 5.22000e-01       5.16224e-05      
 5.40000e-01       5.17574e-05      
 5.58000e-01       5.18751e-05      
 5.76000e-01       5.19793e-05      
 5.94000e-01       5.20731e-05      
 6.12000e-01       5.21584e-05      
 6.30000e-01       5.22371e-05      
 6.48000e-01       5.23103e-05      
 6.66000e-01       5.23789e-05      
 6.84000e-01       5.24438e-05      
 7.02000e-01       5.25055e-05      
 7.20000e-01       5.25645e-05      
 7.38000e-01       5.26212e-05      
 7.56000e-01       5.26759e-05      
 7.74000e-01       5.27288e-05      
 7.92000e-01       5.27802e-05      
 8.10000e-01       5.28303e-05      
 8.28000e-01       5.28791e-05      
 8.46000e-01       5.29269e-05      
 8.64000e-01       5.29737e-05      
 8.82000e-01       5.30197e-05      
 9.00000e-01       5.30649e-05      
 9.18000e-01       5.31094e-05      
 9.36000e-01       5.31533e-05      
 9.54000e-01       5.31965e-05      
 9.72000e-01       5.32393e-05      
 9.90000e-01       5.32815e-05      
 1.00800e+00       5.33234e-05      
 1.02600e+00       5.33648e-05      
 1.04400e+00       5.34058e-05      
 1.06200e+00       5.34465e-05      
 1.08000e+00       5.34868e-05      
 1.09800e+00       5.35269e-05      
 1.11600e+00       5.35666e-05      
 1.13400e+00       5.36061e-05      
 1.15200e+00       5.36454e-05      
 1.17000e+00       5.36845e-05      
 1.18800e+00       5.37233e-05      
 1.20600e+00       5.37619e-05      
 1.22400e+00       5.38004e-05      
 1.24200e+00       5.38386e-05      
 1.26000e+00       5.38768e-05      
 1.27800e+00       5.39147e-05      
 1.29600e+00       5.39525e-05      
 1.31400e+00       5.39902e-05      
 1.33200e+00       5.40277e-05      
 1.35000e+00       5.40652e-05      
 1.36800e+00       5.41025e-05      
 1.38600e+00       5.41397e-05      
 1.40400e+00       5.41768e-05      
 1.42200e+00       5.42138e-05      
 1.44000e+00       5.42507e-05      
 1.45800e+00       5.42875e-05      
 1.47600e+00       5.43242e-05      
 1.49400e+00       5.43609e-05      
 1.51200e+00       5.43975e-05      
 1.53000e+00       5.44340e-05      
 1.54800e+00       5.44705e-05      
 1.56600e+00       5.45068e-05      
 1.58400e+00       5.45432e-05      
 1.60200e+00       5.45794e-05      
 1.62000e+00       5.46156e-05      
 1.63800e+00       5.46518e-05      
 1.65600e+00       5.46879e-05      
 1.67400e+00       5.47240e-05      
 1.69200e+00       5.47600e-05      
 1.71000e+00       5.47959e-05      
 1.72800e+00       5.48319e-05      
 1.74600e+00       5.48678e-05      
 1.76400e+00       5.49036e-05      
 1.78200e+00       5.49394e-05      
 1.80000e+00       5.49752e-05      
