
vgs_val           i("/M0/S" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer_pmos/spectre/schematic" ?result "dc") (A)

 0.00000e+00       2.57037e-13      
 1.80000e-02       4.18721e-13      
 3.60000e-02       6.81989e-13      
 5.40000e-02       1.11053e-12      
 7.20000e-02       1.80783e-12      
 9.00000e-02       2.94189e-12      
 1.08000e-01       4.78512e-12      
 1.26000e-01       7.77859e-12      
 1.44000e-01       1.26353e-11      
 1.62000e-01       2.05048e-11      
 1.80000e-01       3.32361e-11      
 1.98000e-01       5.37914e-11      
 2.16000e-01       8.68970e-11      
 2.34000e-01       1.40052e-10      
 2.52000e-01       2.25076e-10      
 2.70000e-01       3.60454e-10      
 2.88000e-01       5.74830e-10      
 3.06000e-01       9.12109e-10      
 3.24000e-01       1.43881e-09      
 3.42000e-01       2.25447e-09      
 3.60000e-01       3.50612e-09      
 3.78000e-01       5.40845e-09      
 3.96000e-01       8.27169e-09      
 4.14000e-01       1.25399e-08      
 4.32000e-01       1.88423e-08      
 4.50000e-01       2.80592e-08      
 4.68000e-01       4.13964e-08      
 4.86000e-01       6.04564e-08      
 5.04000e-01       8.72818e-08      
 5.22000e-01       1.24342e-07      
 5.40000e-01       1.74444e-07      
 5.58000e-01       2.40557e-07      
 5.76000e-01       3.25589e-07      
 5.94000e-01       4.32146e-07      
 6.12000e-01       5.62332e-07      
 6.30000e-01       7.17620e-07      
 6.48000e-01       8.98819e-07      
 6.66000e-01       1.10610e-06      
 6.84000e-01       1.33910e-06      
 7.02000e-01       1.59696e-06      
 7.20000e-01       1.87848e-06      
 7.38000e-01       2.18211e-06      
 7.56000e-01       2.50601e-06      
 7.74000e-01       2.84801e-06      
 7.92000e-01       3.20567e-06      
 8.10000e-01       3.57632e-06      
 8.28000e-01       3.95722e-06      
 8.46000e-01       4.34577e-06      
 8.64000e-01       4.73965e-06      
 8.82000e-01       5.13696e-06      
 9.00000e-01       5.53621e-06      
 9.18000e-01       5.93625e-06      
 9.36000e-01       6.33628e-06      
 9.54000e-01       6.73567e-06      
 9.72000e-01       7.13398e-06      
 9.90000e-01       7.53090e-06      
 1.00800e+00       7.92620e-06      
 1.02600e+00       8.31970e-06      
 1.04400e+00       8.71127e-06      
 1.06200e+00       9.10084e-06      
 1.08000e+00       9.48834e-06      
 1.09800e+00       9.87372e-06      
 1.11600e+00       1.02569e-05      
 1.13400e+00       1.06380e-05      
 1.15200e+00       1.10169e-05      
 1.17000e+00       1.13936e-05      
 1.18800e+00       1.17681e-05      
 1.20600e+00       1.21404e-05      
 1.22400e+00       1.25106e-05      
 1.24200e+00       1.28786e-05      
 1.26000e+00       1.32444e-05      
 1.27800e+00       1.36081e-05      
 1.29600e+00       1.39697e-05      
 1.31400e+00       1.43293e-05      
 1.33200e+00       1.46867e-05      
 1.35000e+00       1.50421e-05      
 1.36800e+00       1.53955e-05      
 1.38600e+00       1.57468e-05      
 1.40400e+00       1.60962e-05      
 1.42200e+00       1.64436e-05      
 1.44000e+00       1.67890e-05      
 1.45800e+00       1.71325e-05      
 1.47600e+00       1.74742e-05      
 1.49400e+00       1.78139e-05      
 1.51200e+00       1.81518e-05      
 1.53000e+00       1.84878e-05      
 1.54800e+00       1.88220e-05      
 1.56600e+00       1.91545e-05      
 1.58400e+00       1.94851e-05      
 1.60200e+00       1.98141e-05      
 1.62000e+00       2.01412e-05      
 1.63800e+00       2.04667e-05      
 1.65600e+00       2.07905e-05      
 1.67400e+00       2.11126e-05      
 1.69200e+00       2.14331e-05      
 1.71000e+00       2.17519e-05      
 1.72800e+00       2.20692e-05      
 1.74600e+00       2.23848e-05      
 1.76400e+00       2.26989e-05      
 1.78200e+00       2.30114e-05      
 1.80000e+00       2.33224e-05      
