
vgs_val           i("/M0/D" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer/spectre/schematic" ?result "dc") (A)

 0.00000e+00       1.42536e-11      
 1.80000e-02       2.45949e-11      
 3.60000e-02       4.23923e-11      
 5.40000e-02       7.29632e-11      
 7.20000e-02       1.25346e-10      
 9.00000e-02       2.14816e-10      
 1.08000e-01       3.67008e-10      
 1.26000e-01       6.24547e-10      
 1.44000e-01       1.05750e-09      
 1.62000e-01       1.77939e-09      
 1.80000e-01       2.97108e-09      
 1.98000e-01       4.91474e-09      
 2.16000e-01       8.04053e-09      
 2.34000e-01       1.29877e-08      
 2.52000e-01       2.06819e-08      
 2.70000e-01       3.24309e-08      
 2.88000e-01       5.00466e-08      
 3.06000e-01       7.60024e-08      
 3.24000e-01       1.13646e-07      
 3.42000e-01       1.67475e-07      
 3.60000e-01       2.43476e-07      
 3.78000e-01       3.49462e-07      
 3.96000e-01       4.95332e-07      
 4.14000e-01       6.93072e-07      
 4.32000e-01       9.56355e-07      
 4.50000e-01       1.29965e-06      
 4.68000e-01       1.73687e-06      
 4.86000e-01       2.27986e-06      
 5.04000e-01       2.93704e-06      
 5.22000e-01       3.71257e-06      
 5.40000e-01       4.60620e-06      
 5.58000e-01       5.61375e-06      
 5.76000e-01       6.72798e-06      
 5.94000e-01       7.93963e-06      
 6.12000e-01       9.23837e-06      
 6.30000e-01       1.06135e-05      
 6.48000e-01       1.20547e-05      
 6.66000e-01       1.35522e-05      
 6.84000e-01       1.50968e-05      
 7.02000e-01       1.66806e-05      
 7.20000e-01       1.82962e-05      
 7.38000e-01       1.99373e-05      
 7.56000e-01       2.15981e-05      
 7.74000e-01       2.32740e-05      
 7.92000e-01       2.49606e-05      
 8.10000e-01       2.66544e-05      
 8.28000e-01       2.83522e-05      
 8.46000e-01       3.00515e-05      
 8.64000e-01       3.17500e-05      
 8.82000e-01       3.34458e-05      
 9.00000e-01       3.51374e-05      
 9.18000e-01       3.68233e-05      
 9.36000e-01       3.85023e-05      
 9.54000e-01       4.01734e-05      
 9.72000e-01       4.18357e-05      
 9.90000e-01       4.34884e-05      
 1.00800e+00       4.51309e-05      
 1.02600e+00       4.67624e-05      
 1.04400e+00       4.83825e-05      
 1.06200e+00       4.99906e-05      
 1.08000e+00       5.15863e-05      
 1.09800e+00       5.31692e-05      
 1.11600e+00       5.47390e-05      
 1.13400e+00       5.62951e-05      
 1.15200e+00       5.78374e-05      
 1.17000e+00       5.93656e-05      
 1.18800e+00       6.08793e-05      
 1.20600e+00       6.23784e-05      
 1.22400e+00       6.38626e-05      
 1.24200e+00       6.53317e-05      
 1.26000e+00       6.67855e-05      
 1.27800e+00       6.82239e-05      
 1.29600e+00       6.96466e-05      
 1.31400e+00       7.10536e-05      
 1.33200e+00       7.24447e-05      
 1.35000e+00       7.38197e-05      
 1.36800e+00       7.51786e-05      
 1.38600e+00       7.65213e-05      
 1.40400e+00       7.78477e-05      
 1.42200e+00       7.91578e-05      
 1.44000e+00       8.04513e-05      
 1.45800e+00       8.17284e-05      
 1.47600e+00       8.29889e-05      
 1.49400e+00       8.42329e-05      
 1.51200e+00       8.54602e-05      
 1.53000e+00       8.66709e-05      
 1.54800e+00       8.78650e-05      
 1.56600e+00       8.90425e-05      
 1.58400e+00       9.02033e-05      
 1.60200e+00       9.13475e-05      
 1.62000e+00       9.24752e-05      
 1.63800e+00       9.35862e-05      
 1.65600e+00       9.46808e-05      
 1.67400e+00       9.57589e-05      
 1.69200e+00       9.68205e-05      
 1.71000e+00       9.78657e-05      
 1.72800e+00       9.88946e-05      
 1.74600e+00       9.99073e-05      
 1.76400e+00       1.00904e-04      
 1.78200e+00       1.01884e-04      
 1.80000e+00       1.02848e-04      
