
vdd_value         i("/M0/D" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer/spectre/schematic" ?result "dc") (A)

 0.00000e+00       0.00000e+00      
 1.80000e-02       9.74727e-07      
 3.60000e-02       1.80820e-06      
 5.40000e-02       2.50320e-06      
 7.20000e-02       3.06394e-06      
 9.00000e-02       3.49728e-06      
 1.08000e-01       3.81444e-06      
 1.26000e-01       4.03278e-06      
 1.44000e-01       4.17517e-06      
 1.62000e-01       4.26566e-06      
 1.80000e-01       4.32403e-06      
 1.98000e-01       4.36360e-06      
 2.16000e-01       4.39226e-06      
 2.34000e-01       4.41443e-06      
 2.52000e-01       4.43261e-06      
 2.70000e-01       4.44823e-06      
 2.88000e-01       4.46212e-06      
 3.06000e-01       4.47482e-06      
 3.24000e-01       4.48666e-06      
 3.42000e-01       4.49787e-06      
 3.60000e-01       4.50860e-06      
 3.78000e-01       4.51896e-06      
 3.96000e-01       4.52903e-06      
 4.14000e-01       4.53886e-06      
 4.32000e-01       4.54850e-06      
 4.50000e-01       4.55799e-06      
 4.68000e-01       4.56734e-06      
 4.86000e-01       4.57659e-06      
 5.04000e-01       4.58574e-06      
 5.22000e-01       4.59482e-06      
 5.40000e-01       4.60383e-06      
 5.58000e-01       4.61278e-06      
 5.76000e-01       4.62168e-06      
 5.94000e-01       4.63054e-06      
 6.12000e-01       4.63936e-06      
 6.30000e-01       4.64815e-06      
 6.48000e-01       4.65691e-06      
 6.66000e-01       4.66564e-06      
 6.84000e-01       4.67436e-06      
 7.02000e-01       4.68305e-06      
 7.20000e-01       4.69172e-06      
 7.38000e-01       4.70039e-06      
 7.56000e-01       4.70904e-06      
 7.74000e-01       4.71767e-06      
 7.92000e-01       4.72630e-06      
 8.10000e-01       4.73492e-06      
 8.28000e-01       4.74354e-06      
 8.46000e-01       4.75214e-06      
 8.64000e-01       4.76075e-06      
 8.82000e-01       4.76934e-06      
 9.00000e-01       4.77794e-06      
 9.18000e-01       4.78653e-06      
 9.36000e-01       4.79512e-06      
 9.54000e-01       4.80371e-06      
 9.72000e-01       4.81230e-06      
 9.90000e-01       4.82089e-06      
 1.00800e+00       4.82948e-06      
 1.02600e+00       4.83807e-06      
 1.04400e+00       4.84666e-06      
 1.06200e+00       4.85526e-06      
 1.08000e+00       4.86385e-06      
 1.09800e+00       4.87245e-06      
 1.11600e+00       4.88105e-06      
 1.13400e+00       4.88965e-06      
 1.15200e+00       4.89826e-06      
 1.17000e+00       4.90687e-06      
 1.18800e+00       4.91548e-06      
 1.20600e+00       4.92410e-06      
 1.22400e+00       4.93272e-06      
 1.24200e+00       4.94135e-06      
 1.26000e+00       4.94997e-06      
 1.27800e+00       4.95861e-06      
 1.29600e+00       4.96725e-06      
 1.31400e+00       4.97589e-06      
 1.33200e+00       4.98454e-06      
 1.35000e+00       4.99319e-06      
 1.36800e+00       5.00185e-06      
 1.38600e+00       5.01052e-06      
 1.40400e+00       5.01919e-06      
 1.42200e+00       5.02786e-06      
 1.44000e+00       5.03654e-06      
 1.45800e+00       5.04523e-06      
 1.47600e+00       5.05392e-06      
 1.49400e+00       5.06262e-06      
 1.51200e+00       5.07133e-06      
 1.53000e+00       5.08004e-06      
 1.54800e+00       5.08875e-06      
 1.56600e+00       5.09748e-06      
 1.58400e+00       5.10621e-06      
 1.60200e+00       5.11494e-06      
 1.62000e+00       5.12368e-06      
 1.63800e+00       5.13243e-06      
 1.65600e+00       5.14119e-06      
 1.67400e+00       5.14995e-06      
 1.69200e+00       5.15872e-06      
 1.71000e+00       5.16749e-06      
 1.72800e+00       5.17628e-06      
 1.74600e+00       5.18506e-06      
 1.76400e+00       5.19386e-06      
 1.78200e+00       5.20266e-06      
 1.80000e+00       5.21147e-06      
