
vgs_val           i("/M0/D" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer/spectre/schematic" ?result "dc") (A)

 0.00000e+00       1.95938e-11      
 1.80000e-02       3.40227e-11      
 3.60000e-02       5.89983e-11      
 5.40000e-02       1.02130e-10      
 7.20000e-02       1.76394e-10      
 9.00000e-02       3.03771e-10      
 1.08000e-01       5.21168e-10      
 1.26000e-01       8.89886e-10      
 1.44000e-01       1.51035e-09      
 1.62000e-01       2.54435e-09      
 1.80000e-01       4.24731e-09      
 1.98000e-01       7.01326e-09      
 2.16000e-01       1.14344e-08      
 2.34000e-01       1.83770e-08      
 2.52000e-01       2.90762e-08      
 2.70000e-01       4.52536e-08      
 2.88000e-01       6.92717e-08      
 3.06000e-01       1.04340e-07      
 3.24000e-01       1.54797e-07      
 3.42000e-01       2.26463e-07      
 3.60000e-01       3.27044e-07      
 3.78000e-01       4.66495e-07      
 3.96000e-01       6.57183e-07      
 4.14000e-01       9.13689e-07      
 4.32000e-01       1.25207e-06      
 4.50000e-01       1.68859e-06      
 4.68000e-01       2.23808e-06      
 4.86000e-01       2.91234e-06      
 5.04000e-01       3.71897e-06      
 5.22000e-01       4.66088e-06      
 5.40000e-01       5.73653e-06      
 5.58000e-01       6.94078e-06      
 5.76000e-01       8.26586e-06      
 5.94000e-01       9.70249e-06      
 6.12000e-01       1.12408e-05      
 6.30000e-01       1.28708e-05      
 6.48000e-01       1.45832e-05      
 6.66000e-01       1.63692e-05      
 6.84000e-01       1.82209e-05      
 7.02000e-01       2.01313e-05      
 7.20000e-01       2.20941e-05      
 7.38000e-01       2.41036e-05      
 7.56000e-01       2.61549e-05      
 7.74000e-01       2.82436e-05      
 7.92000e-01       3.03659e-05      
 8.10000e-01       3.25180e-05      
 8.28000e-01       3.46970e-05      
 8.46000e-01       3.68999e-05      
 8.64000e-01       3.91241e-05      
 8.82000e-01       4.13672e-05      
 9.00000e-01       4.36270e-05      
 9.18000e-01       4.59014e-05      
 9.36000e-01       4.81886e-05      
 9.54000e-01       5.04867e-05      
 9.72000e-01       5.27941e-05      
 9.90000e-01       5.51093e-05      
 1.00800e+00       5.74308e-05      
 1.02600e+00       5.97571e-05      
 1.04400e+00       6.20870e-05      
 1.06200e+00       6.44192e-05      
 1.08000e+00       6.67524e-05      
 1.09800e+00       6.90857e-05      
 1.11600e+00       7.14177e-05      
 1.13400e+00       7.37476e-05      
 1.15200e+00       7.60742e-05      
 1.17000e+00       7.83967e-05      
 1.18800e+00       8.07141e-05      
 1.20600e+00       8.30254e-05      
 1.22400e+00       8.53299e-05      
 1.24200e+00       8.76266e-05      
 1.26000e+00       8.99149e-05      
 1.27800e+00       9.21938e-05      
 1.29600e+00       9.44627e-05      
 1.31400e+00       9.67207e-05      
 1.33200e+00       9.89673e-05      
 1.35000e+00       1.01202e-04      
 1.36800e+00       1.03423e-04      
 1.38600e+00       1.05632e-04      
 1.40400e+00       1.07826e-04      
 1.42200e+00       1.10005e-04      
 1.44000e+00       1.12170e-04      
 1.45800e+00       1.14318e-04      
 1.47600e+00       1.16450e-04      
 1.49400e+00       1.18566e-04      
 1.51200e+00       1.20664e-04      
 1.53000e+00       1.22745e-04      
 1.54800e+00       1.24808e-04      
 1.56600e+00       1.26852e-04      
 1.58400e+00       1.28878e-04      
 1.60200e+00       1.30884e-04      
 1.62000e+00       1.32871e-04      
 1.63800e+00       1.34838e-04      
 1.65600e+00       1.36785e-04      
 1.67400e+00       1.38712e-04      
 1.69200e+00       1.40619e-04      
 1.71000e+00       1.42504e-04      
 1.72800e+00       1.44369e-04      
 1.74600e+00       1.46213e-04      
 1.76400e+00       1.48036e-04      
 1.78200e+00       1.49837e-04      
 1.80000e+00       1.51617e-04      
